Time,Z.ParticleNumber
0,0
1,0.0250631
2,0.191607
3,0.965288
4,2.85736
5,5.98741
6,10.221
7,15.345
8,21.1418
9,27.4145
10,33.9955
11,40.746
12,47.5539
13,54.3302
14,61.0056
15,67.5268
16,73.8543
17,79.9596
18,85.823
19,91.4323
20,96.7807
21,101.866
22,106.69
23,111.256
24,115.571
25,119.641
26,123.477
27,127.087
28,130.481
29,133.67
30,136.663
31,139.47
32,142.103
33,144.569
34,146.879
35,149.042
36,151.067
37,152.961
38,154.733
39,156.39
40,157.939
41,159.387
42,160.741
43,162.006
44,163.188
45,164.292
46,165.324
47,166.288
48,167.188
49,168.029
50,168.814
51,169.547
52,170.232
53,170.872
54,171.469
55,172.026
56,172.547
57,173.033
58,173.487
59,173.911
60,174.306
61,174.676
62,175.02
63,175.342
64,175.643
65,175.923
66,176.185
67,176.43
68,176.658
69,176.871
70,177.07
71,177.256
72,177.429
73,177.591
74,177.742
75,177.883
76,178.014
77,178.137
78,178.252
79,178.359
80,178.459
81,178.552
82,178.639
83,178.721
84,178.797
85,178.867
86,178.934
87,178.995
88,179.053
89,179.107
90,179.157
91,179.204
92,179.248
93,179.288
94,179.327
95,179.362
96,179.395
97,179.426
98,179.455
99,179.482
100,179.508
101,179.531
102,179.553
103,179.574
104,179.593
105,179.611
106,179.627
107,179.643
108,179.658
109,179.671
110,179.684
111,179.696
112,179.707
113,179.717
114,179.727
115,179.736
116,179.744
117,179.752
118,179.759
119,179.766
120,179.772
121,179.778
122,179.784
123,179.789
124,179.794
125,179.798
126,179.803
127,179.807
128,179.81
129,179.814
130,179.817
131,179.82
132,179.823
133,179.825
134,179.828
135,179.83
136,179.832
137,179.834
138,179.836
139,179.838
140,179.839
141,179.841
142,179.842
143,179.843
144,179.845
145,179.846
146,179.847
147,179.848
148,179.849
149,179.85
150,179.85
151,179.851
152,179.852
153,179.852
154,179.853
155,179.854
156,179.854
157,179.855
158,179.855
159,179.856
160,179.856
161,179.856
162,179.857
163,179.857
164,179.857
165,179.858
166,179.858
167,179.858
168,179.858
169,179.859
170,179.859
171,179.859
172,179.859
173,179.859
174,179.86
175,179.86
176,179.86
177,179.86
178,179.86
179,179.86
180,179.86
181,179.86
182,179.86
183,179.861
184,179.861
185,179.861
186,179.861
187,179.861
188,179.861
189,179.861
190,179.861
191,179.861
192,179.861
193,179.861
194,179.861
195,179.861
196,179.861
197,179.861
198,179.861
199,179.861
200,179.861
