Time,Z.ParticleNumber
200,179.861
201,179.861
202,179.859
203,179.853
204,179.841
205,179.82
206,179.784
207,179.73
208,179.648
209,179.528
210,179.356
211,179.113
212,178.773
213,178.302
214,177.659
215,176.793
216,175.643
217,174.146
218,172.236
219,169.857
220,166.969
221,163.553
222,159.619
223,155.199
224,150.348
225,145.135
226,139.638
227,133.936
228,128.107
229,122.221
230,116.342
231,110.522
232,104.808
233,99.2359
234,93.8331
235,88.6215
236,83.6159
237,78.8264
238,74.2586
239,69.9145
240,65.7931
241,61.8913
242,58.2043
243,54.7258
244,51.4487
245,48.3649
246,45.4663
247,42.7441
248,40.1898
249,37.7946
250,35.55
251,33.4477
252,31.4796
253,29.6379
254,27.9151
255,26.3041
256,24.7979
257,23.3901
258,22.0746
259,20.8456
260,19.6974
261,18.6251
262,17.6237
263,16.6886
264,15.8155
265,15.0004
266,14.2394
267,13.5291
268,12.866
269,12.2472
270,11.6695
271,11.1304
272,10.6273
273,10.1578
274,9.71965
275,9.31077
276,8.92921
277,8.57315
278,8.24089
279,7.93085
280,7.64153
281,7.37156
282,7.11965
283,6.88458
284,6.66524
285,6.46057
286,6.2696
287,6.09141
288,5.92515
289,5.77001
290,5.62525
291,5.49019
292,5.36416
293,5.24657
294,5.13685
295,5.03447
296,4.93895
297,4.84981
298,4.76665
299,4.68905
300,4.61664
301,4.54908
302,4.48605
303,4.42725
304,4.37238
305,4.32118
306,4.27341
307,4.22885
308,4.18726
309,4.14846
310,4.11226
311,4.07848
312,4.04695
313,4.01754
314,3.9901
315,3.96449
316,3.9406
317,3.9183
318,3.8975
319,3.87809
320,3.85998
321,3.84308
322,3.82731
323,3.8126
324,3.79888
325,3.78608
326,3.77413
327,3.76298
328,3.75258
329,3.74288
330,3.73383
331,3.72538
332,3.71749
333,3.71014
334,3.70328
335,3.69687
336,3.69089
337,3.68531
338,3.68011
339,3.67525
340,3.67072
341,3.66649
342,3.66254
343,3.65886
344,3.65542
345,3.65222
346,3.64923
347,3.64644
348,3.64383
349,3.6414
350,3.63913
351,3.63702
352,3.63505
353,3.63322
354,3.6315
355,3.6299
356,3.6284
357,3.62701
358,3.62572
359,3.6245
360,3.62337
361,3.62231
362,3.62133
363,3.62041
364,3.61955
365,3.61875
366,3.618
367,3.6173
368,3.61664
369,3.61604
370,3.61547
371,3.61494
372,3.61444
373,3.61398
374,3.61354
375,3.61314
376,3.61276
377,3.61241
378,3.61208
379,3.61178
380,3.61149
381,3.61123
382,3.61098
383,3.61075
384,3.61053
385,3.61033
386,3.61014
387,3.60997
388,3.60981
389,3.60966
390,3.60952
391,3.60939
392,3.60927
393,3.60915
394,3.60905
395,3.60895
396,3.60886
397,3.60877
398,3.60869
399,3.60862
400,3.60855
