Time,Z.ParticleNumber
200,3.6075
201,4.72462
202,7.70396
203,12.0687
204,17.439
205,23.5132
206,30.0508
207,36.863
208,43.8024
209,50.7549
210,57.633
211,64.3709
212,70.9199
213,77.2448
214,83.3218
215,89.1359
216,94.6786
217,99.9466
218,104.941
219,109.665
220,114.126
221,118.332
222,122.291
223,126.015
224,129.513
225,132.796
226,135.875
227,138.761
228,141.465
229,143.996
230,146.365
231,148.581
232,150.654
233,152.592
234,154.403
235,156.096
236,157.677
237,159.155
238,160.534
239,161.823
240,163.026
241,164.15
242,165.199
243,166.178
244,167.092
245,167.946
246,168.742
247,169.486
248,170.18
249,170.827
250,171.431
251,171.995
252,172.521
253,173.012
254,173.471
255,173.898
256,174.297
257,174.67
258,175.017
259,175.341
260,175.644
261,175.926
262,176.19
263,176.435
264,176.665
265,176.879
266,177.078
267,177.265
268,177.438
269,177.601
270,177.752
271,177.893
272,178.025
273,178.148
274,178.262
275,178.369
276,178.469
277,178.563
278,178.649
279,178.731
280,178.806
281,178.877
282,178.943
283,179.004
284,179.062
285,179.115
286,179.165
287,179.212
288,179.255
289,179.296
290,179.334
291,179.369
292,179.402
293,179.433
294,179.461
295,179.488
296,179.513
297,179.536
298,179.558
299,179.579
300,179.597
301,179.615
302,179.632
303,179.647
304,179.661
305,179.675
306,179.687
307,179.699
308,179.71
309,179.72
310,179.73
311,179.738
312,179.747
313,179.754
314,179.762
315,179.768
316,179.774
317,179.78
318,179.786
319,179.791
320,179.795
321,179.8
322,179.804
323,179.808
324,179.811
325,179.815
326,179.818
327,179.821
328,179.824
329,179.826
330,179.828
331,179.831
332,179.833
333,179.835
334,179.836
335,179.838
336,179.84
337,179.841
338,179.843
339,179.844
340,179.845
341,179.846
342,179.847
343,179.848
344,179.849
345,179.85
346,179.851
347,179.851
348,179.852
349,179.853
350,179.853
351,179.854
352,179.854
353,179.855
354,179.855
355,179.856
356,179.856
357,179.857
358,179.857
359,179.857
360,179.857
361,179.858
362,179.858
363,179.858
364,179.858
365,179.859
366,179.859
367,179.859
368,179.859
369,179.859
370,179.86
371,179.86
372,179.86
373,179.86
374,179.86
375,179.86
376,179.86
377,179.86
378,179.86
379,179.861
380,179.861
381,179.861
382,179.861
383,179.861
384,179.861
385,179.861
386,179.861
387,179.861
388,179.861
389,179.861
390,179.861
391,179.861
392,179.861
393,179.861
394,179.861
395,179.861
396,179.861
397,179.861
398,179.861
399,179.862
400,179.862
