Time,Z.ParticleNumber
0,0
1,0.878133
2,3.2712
3,6.88262
4,11.4739
5,16.8321
6,22.7645
7,29.1005
8,35.6933
9,42.4201
10,49.1804
11,55.8936
12,62.496
13,68.9391
14,75.1862
15,81.2111
16,86.9957
17,92.5285
18,97.8035
19,102.819
20,107.577
21,112.081
22,116.337
23,120.353
24,124.138
25,127.7
26,131.05
27,134.198
28,137.152
29,139.925
30,142.524
31,144.96
32,147.242
33,149.379
34,151.379
35,153.25
36,155.001
37,156.639
38,158.17
39,159.602
40,160.94
41,162.19
42,163.359
43,164.451
44,165.472
45,166.425
46,167.315
47,168.147
48,168.924
49,169.649
50,170.327
51,170.96
52,171.551
53,172.102
54,172.618
55,173.099
56,173.548
57,173.967
58,174.359
59,174.725
60,175.066
61,175.385
62,175.682
63,175.96
64,176.219
65,176.461
66,176.687
67,176.898
68,177.095
69,177.279
70,177.451
71,177.611
72,177.761
73,177.901
74,178.031
75,178.153
76,178.267
77,178.373
78,178.472
79,178.564
80,178.65
81,178.731
82,178.806
83,178.876
84,178.942
85,179.003
86,179.06
87,179.114
88,179.163
89,179.21
90,179.253
91,179.294
92,179.332
93,179.367
94,179.4
95,179.431
96,179.459
97,179.486
98,179.511
99,179.534
100,179.556
101,179.577
102,179.596
103,179.613
104,179.63
105,179.645
106,179.66
107,179.673
108,179.686
109,179.698
110,179.709
111,179.719
112,179.728
113,179.737
114,179.746
115,179.753
116,179.761
117,179.767
118,179.774
119,179.78
120,179.785
121,179.79
122,179.795
123,179.799
124,179.804
125,179.808
126,179.811
127,179.815
128,179.818
129,179.821
130,179.823
131,179.826
132,179.828
133,179.831
134,179.833
135,179.835
136,179.837
137,179.838
138,179.84
139,179.841
140,179.843
141,179.844
142,179.845
143,179.846
144,179.848
145,179.849
146,179.849
147,179.85
148,179.851
149,179.852
150,179.853
151,179.853
152,179.854
153,179.854
154,179.855
155,179.855
156,179.856
157,179.856
158,179.857
159,179.857
160,179.857
161,179.858
162,179.858
163,179.858
164,179.859
165,179.859
166,179.859
167,179.859
168,179.86
169,179.86
170,179.86
171,179.86
172,179.86
173,179.86
174,179.861
175,179.861
176,179.861
177,179.861
178,179.861
179,179.861
180,179.861
181,179.861
182,179.861
183,179.861
184,179.861
185,179.862
186,179.862
187,179.862
188,179.862
189,179.862
190,179.862
191,179.862
192,179.862
193,179.862
194,179.862
195,179.862
196,179.862
197,179.862
198,179.862
199,179.862
200,179.862
