Time,Z.ParticleNumber
200,179.862
201,179.862
202,179.86
203,179.854
204,179.842
205,179.82
206,179.785
207,179.73
208,179.648
209,179.529
210,179.357
211,179.114
212,178.773
213,178.303
214,177.66
215,176.794
216,175.644
217,174.147
218,172.237
219,169.858
220,166.97
221,163.555
222,159.62
223,155.199
224,150.348
225,145.135
226,139.639
227,133.938
228,128.109
229,122.223
230,116.344
231,110.525
232,104.812
233,99.2394
234,93.8368
235,88.6251
236,83.6195
237,78.83
238,74.2621
239,69.9178
240,65.7962
241,61.8943
242,58.2071
243,54.7284
244,51.4511
245,48.3672
246,45.4684
247,42.7461
248,40.1916
249,37.7963
250,35.5516
251,33.4493
252,31.481
253,29.6392
254,27.9163
255,26.3052
256,24.7989
257,23.3911
258,22.0755
259,20.8464
260,19.6983
261,18.6259
262,17.6245
263,16.6893
264,15.8162
265,15.001
266,14.24
267,13.5296
268,12.8665
269,12.2476
270,11.67
271,11.1309
272,10.6278
273,10.1583
274,9.72008
275,9.31118
276,8.92958
277,8.57349
278,8.24119
279,7.93111
280,7.64178
281,7.37179
282,7.11986
283,6.8848
284,6.66548
285,6.46083
286,6.26986
287,6.09171
288,5.92548
289,5.77036
290,5.62562
291,5.49058
292,5.36457
293,5.24698
294,5.13727
295,5.0349
296,4.93937
297,4.85022
298,4.76705
299,4.68945
300,4.61703
301,4.54947
302,4.48644
303,4.42763
304,4.37274
305,4.32154
306,4.27378
307,4.22921
308,4.18762
309,4.14881
310,4.11261
311,4.07883
312,4.04731
313,4.01787
314,3.99042
315,3.96481
316,3.94091
317,3.91859
318,3.89778
319,3.87835
320,3.86023
321,3.84331
322,3.82753
323,3.81281
324,3.79907
325,3.78626
326,3.77429
327,3.76315
328,3.75276
329,3.74306
330,3.73401
331,3.72556
332,3.71767
333,3.71034
334,3.70349
335,3.6971
336,3.69114
337,3.68556
338,3.68035
339,3.67551
340,3.67098
341,3.66676
342,3.66281
343,3.65912
344,3.65567
345,3.65246
346,3.64946
347,3.64666
348,3.64404
349,3.6416
350,3.63932
351,3.6372
352,3.63521
353,3.63336
354,3.63163
355,3.63002
356,3.62852
357,3.62712
358,3.62581
359,3.62459
360,3.62345
361,3.62239
362,3.62141
363,3.6205
364,3.61965
365,3.61886
366,3.61812
367,3.61743
368,3.61678
369,3.61616
370,3.61561
371,3.61509
372,3.61461
373,3.61416
374,3.61374
375,3.61334
376,3.61296
377,3.6126
378,3.61227
379,3.61197
380,3.61169
381,3.61142
382,3.61117
383,3.61093
384,3.61071
385,3.61049
386,3.6103
387,3.61011
388,3.60994
389,3.60978
390,3.60963
391,3.60949
392,3.60935
393,3.60923
394,3.60912
395,3.60901
396,3.60891
397,3.60881
398,3.60873
399,3.60865
400,3.60857
