Time,Z.ParticleNumber
200,3.60768
201,4.72473
202,7.70403
203,12.069
204,17.4393
205,23.5135
206,30.051
207,36.8634
208,43.8033
209,50.756
210,57.6341
211,64.3718
212,70.9208
213,77.2459
214,83.323
215,89.1369
216,94.6793
217,99.9471
218,104.941
219,109.665
220,114.126
221,118.332
222,122.291
223,126.015
224,129.513
225,132.796
226,135.875
227,138.761
228,141.465
229,143.996
230,146.365
231,148.582
232,150.654
233,152.592
234,154.403
235,156.096
236,157.678
237,159.155
238,160.535
239,161.824
240,163.027
241,164.151
242,165.2
243,166.179
244,167.093
245,167.946
246,168.743
247,169.486
248,170.18
249,170.827
250,171.432
251,171.996
252,172.522
253,173.013
254,173.471
255,173.899
256,174.298
257,174.67
258,175.018
259,175.342
260,175.645
261,175.927
262,176.19
263,176.436
264,176.665
265,176.879
266,177.079
267,177.265
268,177.439
269,177.601
270,177.752
271,177.894
272,178.025
273,178.148
274,178.263
275,178.37
276,178.47
277,178.563
278,178.65
279,178.731
280,178.807
281,178.878
282,178.943
283,179.005
284,179.062
285,179.116
286,179.166
287,179.212
288,179.256
289,179.297
290,179.334
291,179.37
292,179.403
293,179.433
294,179.462
295,179.489
296,179.514
297,179.537
298,179.559
299,179.579
300,179.598
301,179.616
302,179.632
303,179.648
304,179.662
305,179.675
306,179.688
307,179.7
308,179.71
309,179.721
310,179.73
311,179.739
312,179.747
313,179.755
314,179.762
315,179.769
316,179.775
317,179.781
318,179.786
319,179.791
320,179.796
321,179.801
322,179.805
323,179.809
324,179.812
325,179.815
326,179.819
327,179.822
328,179.824
329,179.827
330,179.829
331,179.831
332,179.833
333,179.835
334,179.837
335,179.839
336,179.84
337,179.842
338,179.843
339,179.844
340,179.846
341,179.847
342,179.848
343,179.849
344,179.85
345,179.85
346,179.851
347,179.852
348,179.853
349,179.853
350,179.854
351,179.854
352,179.855
353,179.855
354,179.856
355,179.856
356,179.857
357,179.857
358,179.857
359,179.858
360,179.858
361,179.858
362,179.859
363,179.859
364,179.859
365,179.859
366,179.86
367,179.86
368,179.86
369,179.86
370,179.86
371,179.86
372,179.861
373,179.861
374,179.861
375,179.861
376,179.861
377,179.861
378,179.861
379,179.861
380,179.861
381,179.861
382,179.861
383,179.861
384,179.862
385,179.862
386,179.862
387,179.862
388,179.862
389,179.862
390,179.862
391,179.862
392,179.862
393,179.862
394,179.862
395,179.862
396,179.862
397,179.862
398,179.862
399,179.862
400,179.862
