Time,Z.ParticleNumber
0,0
1,0.082217
2,0.311072
3,0.649868
4,1.06965
5,1.54483
6,2.05662
7,2.5904
8,3.13456
9,3.67991
10,4.21949
11,4.74793
12,5.26159
13,5.75791
14,6.23498
15,6.69152
16,7.12678
17,7.54045
18,7.93265
19,8.30369
20,8.65406
21,8.9844
22,9.29543
23,9.58792
24,9.8627
25,10.1206
26,10.3625
27,10.5893
28,10.8017
29,11.0005
30,11.1866
31,11.3607
32,11.5236
33,11.6758
34,11.8181
35,11.951
36,12.0753
37,12.1913
38,12.2997
39,12.4009
40,12.4955
41,12.5837
42,12.6662
43,12.7431
44,12.8149
45,12.8819
46,12.9445
47,13.0029
48,13.0574
49,13.1082
50,13.1557
51,13.2
52,13.2413
53,13.2799
54,13.3159
55,13.3495
56,13.3808
57,13.41
58,13.4373
59,13.4628
60,13.4865
61,13.5087
62,13.5293
63,13.5486
64,13.5666
65,13.5834
66,13.5991
67,13.6137
68,13.6273
69,13.64
70,13.6519
71,13.663
72,13.6733
73,13.6829
74,13.6919
75,13.7003
76,13.7081
77,13.7154
78,13.7222
79,13.7286
80,13.7345
81,13.74
82,13.7452
83,13.75
84,13.7545
85,13.7586
86,13.7626
87,13.7662
88,13.7696
89,13.7728
90,13.7758
91,13.7786
92,13.7811
93,13.7836
94,13.7858
95,13.7879
96,13.7899
97,13.7917
98,13.7934
99,13.795
100,13.7964
101,13.7978
102,13.7991
103,13.8003
104,13.8014
105,13.8025
106,13.8034
107,13.8043
108,13.8052
109,13.806
110,13.8067
111,13.8074
112,13.808
113,13.8086
114,13.8092
115,13.8097
116,13.8102
117,13.8106
118,13.811
119,13.8114
120,13.8118
121,13.8121
122,13.8124
123,13.8127
124,13.813
125,13.8133
126,13.8135
127,13.8137
128,13.8139
129,13.8141
130,13.8143
131,13.8145
132,13.8147
133,13.8148
134,13.8149
135,13.815
136,13.8152
137,13.8153
138,13.8154
139,13.8155
140,13.8156
141,13.8156
142,13.8157
143,13.8158
144,13.8158
145,13.8159
146,13.816
147,13.816
148,13.8161
149,13.8161
150,13.8161
151,13.8162
152,13.8162
153,13.8163
154,13.8163
155,13.8163
156,13.8164
157,13.8164
158,13.8164
159,13.8164
160,13.8165
161,13.8165
162,13.8165
163,13.8165
164,13.8165
165,13.8165
166,13.8166
167,13.8166
168,13.8166
169,13.8166
170,13.8166
171,13.8166
172,13.8166
173,13.8166
174,13.8167
175,13.8167
176,13.8167
177,13.8167
178,13.8167
179,13.8167
180,13.8167
181,13.8167
182,13.8167
183,13.8167
184,13.8167
185,13.8167
186,13.8167
187,13.8167
188,13.8167
189,13.8167
190,13.8167
191,13.8167
192,13.8167
193,13.8167
194,13.8167
195,13.8167
196,13.8167
197,13.8167
198,13.8167
199,13.8167
200,13.8167
