Time,Z.ParticleNumber
200,0.360766
201,0.442126
202,0.666032
203,0.996778
204,1.40604
205,1.869
206,2.36755
207,2.88734
208,3.41688
209,3.94747
210,4.47262
211,4.98727
212,5.48759
213,5.97084
214,6.43521
215,6.87954
216,7.30316
217,7.70584
218,8.08759
219,8.44875
220,8.78977
221,9.11127
222,9.414
223,9.69869
224,9.96617
225,10.2172
226,10.4527
227,10.6734
228,10.8801
229,11.0737
230,11.2548
231,11.4242
232,11.5827
233,11.7308
234,11.8692
235,11.9986
236,12.1195
237,12.2325
238,12.3381
239,12.4367
240,12.5288
241,12.6148
242,12.6951
243,12.7701
244,12.8401
245,12.9054
246,12.9664
247,13.0233
248,13.0765
249,13.126
250,13.1723
251,13.2155
252,13.2557
253,13.2933
254,13.3284
255,13.3611
256,13.3916
257,13.4201
258,13.4467
259,13.4715
260,13.4946
261,13.5162
262,13.5364
263,13.5552
264,13.5727
265,13.5891
266,13.6043
267,13.6186
268,13.6319
269,13.6443
270,13.6558
271,13.6666
272,13.6767
273,13.686
274,13.6948
275,13.7029
276,13.7105
277,13.7176
278,13.7242
279,13.7303
280,13.7361
281,13.7414
282,13.7464
283,13.7511
284,13.7555
285,13.7595
286,13.7633
287,13.7669
288,13.7702
289,13.7733
290,13.7762
291,13.7789
292,13.7814
293,13.7838
294,13.786
295,13.788
296,13.79
297,13.7918
298,13.7934
299,13.795
300,13.7964
301,13.7978
302,13.7991
303,13.8002
304,13.8013
305,13.8024
306,13.8033
307,13.8042
308,13.805
309,13.8057
310,13.8065
311,13.8071
312,13.8078
313,13.8083
314,13.8088
315,13.8093
316,13.8098
317,13.8102
318,13.8106
319,13.811
320,13.8114
321,13.8117
322,13.8121
323,13.8124
324,13.8126
325,13.8129
326,13.8131
327,13.8134
328,13.8136
329,13.8138
330,13.814
331,13.8142
332,13.8144
333,13.8145
334,13.8147
335,13.8148
336,13.8149
337,13.8151
338,13.8152
339,13.8153
340,13.8154
341,13.8155
342,13.8155
343,13.8156
344,13.8157
345,13.8157
346,13.8158
347,13.8158
348,13.8159
349,13.8159
350,13.816
351,13.816
352,13.816
353,13.8161
354,13.8161
355,13.8161
356,13.8162
357,13.8162
358,13.8162
359,13.8162
360,13.8162
361,13.8162
362,13.8162
363,13.8163
364,13.8163
365,13.8163
366,13.8163
367,13.8163
368,13.8163
369,13.8164
370,13.8164
371,13.8164
372,13.8164
373,13.8164
374,13.8164
375,13.8164
376,13.8165
377,13.8165
378,13.8165
379,13.8165
380,13.8165
381,13.8165
382,13.8166
383,13.8166
384,13.8166
385,13.8166
386,13.8166
387,13.8166
388,13.8166
389,13.8166
390,13.8166
391,13.8167
392,13.8167
393,13.8167
394,13.8167
395,13.8167
396,13.8167
397,13.8167
398,13.8167
399,13.8167
400,13.8167
