Time,Z.ParticleNumber
0,0
1,0.00228866
2,0.00848112
3,0.0183189
4,0.0331997
5,0.0566478
6,0.0940946
7,0.152194
8,0.237424
9,0.355038
10,0.508403
11,0.698816
12,0.925644
13,1.18667
14,1.47858
15,1.79737
16,2.13874
17,2.49829
18,2.87168
19,3.25482
20,3.64395
21,4.03575
22,4.42725
23,4.81589
24,5.19953
25,5.57631
26,5.94473
27,6.30355
28,6.65183
29,6.98884
30,7.31406
31,7.62716
32,7.92794
33,8.21633
34,8.49235
35,8.75613
36,9.00783
37,9.24771
38,9.47603
39,9.69315
40,9.8994
41,10.0952
42,10.2809
43,10.4568
44,10.6235
45,10.7813
46,10.9305
47,11.0717
48,11.2051
49,11.3311
50,11.45
51,11.5623
52,11.6683
53,11.7683
54,11.8626
55,11.9515
56,12.0352
57,12.1142
58,12.1886
59,12.2587
60,12.3247
61,12.3868
62,12.4453
63,12.5004
64,12.5522
65,12.601
66,12.6469
67,12.6901
68,12.7307
69,12.7689
70,12.8048
71,12.8385
72,12.8703
73,12.9001
74,12.9282
75,12.9546
76,12.9794
77,13.0027
78,13.0246
79,13.0451
80,13.0645
81,13.0826
82,13.0997
83,13.1158
84,13.1308
85,13.145
86,13.1583
87,13.1708
88,13.1825
89,13.1935
90,13.2038
91,13.2136
92,13.2227
93,13.2312
94,13.2393
95,13.2468
96,13.2539
97,13.2605
98,13.2668
99,13.2726
100,13.2781
101,13.2833
102,13.2881
103,13.2927
104,13.2969
105,13.3009
106,13.3047
107,13.3082
108,13.3115
109,13.3146
110,13.3175
111,13.3203
112,13.3228
113,13.3253
114,13.3275
115,13.3296
116,13.3316
117,13.3335
118,13.3352
119,13.3369
120,13.3384
121,13.3399
122,13.3412
123,13.3425
124,13.3437
125,13.3448
126,13.3458
127,13.3468
128,13.3477
129,13.3486
130,13.3494
131,13.3502
132,13.3509
133,13.3515
134,13.3522
135,13.3527
136,13.3533
137,13.3538
138,13.3543
139,13.3548
140,13.3552
141,13.3556
142,13.356
143,13.3563
144,13.3567
145,13.357
146,13.3573
147,13.3575
148,13.3578
149,13.358
150,13.3583
151,13.3585
152,13.3587
153,13.3589
154,13.3591
155,13.3592
156,13.3594
157,13.3595
158,13.3597
159,13.3598
160,13.3599
161,13.36
162,13.3601
163,13.3602
164,13.3603
165,13.3604
166,13.3604
167,13.3605
168,13.3605
169,13.3606
170,13.3606
171,13.3607
172,13.3607
173,13.3608
174,13.3608
175,13.3609
176,13.3609
177,13.3609
178,13.361
179,13.361
180,13.361
181,13.3611
182,13.3611
183,13.3611
184,13.3612
185,13.3612
186,13.3612
187,13.3613
188,13.3613
189,13.3613
190,13.3613
191,13.3614
192,13.3614
193,13.3614
194,13.3615
195,13.3615
196,13.3615
197,13.3615
198,13.3616
199,13.3616
200,13.3616
