Time,Z.ParticleNumber
200,13.3616
201,13.3599
202,13.3481
203,13.3164
204,13.2559
205,13.1586
206,13.0182
207,12.8309
208,12.5953
209,12.3128
210,11.987
211,11.6233
212,11.2282
213,10.8085
214,10.3713
215,9.92311
216,9.46985
217,9.0167
218,8.56805
219,8.1275
220,7.69796
221,7.28166
222,6.88025
223,6.49489
224,6.12636
225,5.77505
226,5.44111
227,5.12444
228,4.82477
229,4.54172
230,4.27478
231,4.02338
232,3.78689
233,3.56466
234,3.35602
235,3.16029
236,2.97679
237,2.80487
238,2.64388
239,2.49318
240,2.35218
241,2.2203
242,2.09699
243,1.98172
244,1.87398
245,1.77332
246,1.67928
247,1.59143
248,1.50939
249,1.43278
250,1.36124
251,1.29445
252,1.23209
253,1.17388
254,1.11954
255,1.06882
256,1.02148
257,0.977301
258,0.936066
259,0.897581
260,0.861664
261,0.828148
262,0.796866
263,0.767677
264,0.74044
265,0.715021
266,0.691306
267,0.669174
268,0.648524
269,0.629257
270,0.611278
271,0.594503
272,0.578849
273,0.564238
274,0.550607
275,0.537891
276,0.526019
277,0.514943
278,0.504612
279,0.494971
280,0.485973
281,0.47758
282,0.469753
283,0.462445
284,0.455629
285,0.449272
286,0.443339
287,0.437803
288,0.43264
289,0.427823
290,0.423324
291,0.419125
292,0.415209
293,0.411559
294,0.408146
295,0.404962
296,0.401992
297,0.399225
298,0.39664
299,0.394227
300,0.391976
301,0.38988
302,0.387923
303,0.386096
304,0.384392
305,0.382804
306,0.381324
307,0.379941
308,0.378651
309,0.377449
310,0.376329
311,0.37528
312,0.374301
313,0.373388
314,0.372537
315,0.371745
316,0.371006
317,0.370313
318,0.369666
319,0.369064
320,0.368503
321,0.367982
322,0.367493
323,0.367036
324,0.36661
325,0.366214
326,0.365846
327,0.365503
328,0.365181
329,0.364881
330,0.364602
331,0.364342
332,0.3641
333,0.363874
334,0.363663
335,0.363466
336,0.363283
337,0.363112
338,0.362953
339,0.362803
340,0.362662
341,0.362531
342,0.362409
343,0.362296
344,0.36219
345,0.362092
346,0.362
347,0.361913
348,0.361831
349,0.361755
350,0.361684
351,0.361619
352,0.361559
353,0.361504
354,0.36145
355,0.3614
356,0.361354
357,0.361311
358,0.361271
359,0.361234
360,0.3612
361,0.361169
362,0.361139
363,0.361112
364,0.361086
365,0.361062
366,0.36104
367,0.36102
368,0.361001
369,0.360984
370,0.360968
371,0.360952
372,0.360938
373,0.360925
374,0.360913
375,0.360902
376,0.360892
377,0.360882
378,0.360872
379,0.360863
380,0.360854
381,0.360846
382,0.360839
383,0.360832
384,0.360825
385,0.360819
386,0.360814
387,0.360809
388,0.360804
389,0.3608
390,0.360796
391,0.360791
392,0.360787
393,0.360782
394,0.360779
395,0.360775
396,0.360772
397,0.360769
398,0.360766
399,0.360764
400,0.360762
