Time,Z.ParticleNumber
200,721.489
201,721.489
202,721.489
203,721.489
204,721.489
205,721.489
206,721.488
207,721.486
208,721.484
209,721.48
210,721.476
211,721.469
212,721.459
213,721.445
214,721.427
215,721.402
216,721.368
217,721.323
218,721.265
219,721.191
220,721.098
221,720.985
222,720.849
223,720.69
224,720.505
225,720.295
226,720.057
227,719.791
228,719.495
229,719.168
230,718.807
231,718.408
232,717.97
233,717.486
234,716.952
235,716.363
236,715.711
237,714.99
238,714.19
239,713.303
240,712.319
241,711.225
242,710.013
243,708.667
244,707.176
245,705.523
246,703.696
247,701.677
248,699.451
249,697.003
250,694.315
251,691.371
252,688.156
253,684.654
254,680.852
255,676.736
256,672.295
257,667.52
258,662.403
259,656.939
260,651.125
261,644.962
262,638.453
263,631.604
264,624.424
265,616.924
266,609.12
267,601.028
268,592.668
269,584.061
270,575.23
271,566.201
272,556.999
273,547.65
274,538.182
275,528.622
276,518.997
277,509.333
278,499.657
279,489.994
280,480.366
281,470.798
282,461.309
283,451.92
284,442.649
285,433.513
286,424.528
287,415.706
288,407.061
289,398.602
290,390.338
291,382.278
292,374.427
293,366.79
294,359.372
295,352.175
296,345.201
297,338.451
298,331.924
299,325.62
300,319.537
301,313.673
302,308.025
303,302.589
304,297.363
305,292.341
306,287.521
307,282.896
308,278.462
309,274.214
310,270.146
311,266.254
312,262.532
313,258.975
314,255.577
315,252.332
316,249.235
317,246.282
318,243.466
319,240.782
320,238.226
321,235.791
322,233.474
323,231.27
324,229.173
325,227.179
326,225.284
327,223.483
328,221.773
329,220.149
330,218.607
331,217.144
332,215.756
333,214.44
334,213.191
335,212.008
336,210.886
337,209.824
338,208.817
339,207.863
340,206.96
341,206.106
342,205.297
343,204.531
344,203.807
345,203.121
346,202.473
347,201.861
348,201.281
349,200.734
350,200.216
351,199.727
352,199.265
353,198.828
354,198.416
355,198.027
356,197.659
357,197.312
358,196.984
359,196.675
360,196.383
361,196.108
362,195.848
363,195.603
364,195.372
365,195.154
366,194.948
367,194.754
368,194.571
369,194.399
370,194.237
371,194.083
372,193.939
373,193.803
374,193.675
375,193.554
376,193.44
377,193.333
378,193.232
379,193.137
380,193.048
381,192.963
382,192.884
383,192.809
384,192.739
385,192.673
386,192.61
387,192.552
388,192.496
389,192.444
390,192.395
391,192.349
392,192.306
393,192.265
394,192.227
395,192.191
396,192.157
397,192.125
398,192.095
399,192.067
400,192.04
