Time,Z.ParticleNumber
200,721.499
201,721.499
202,721.499
203,721.499
204,721.5
205,721.5
206,721.5
207,721.5
208,721.5
209,721.5
210,721.499
211,721.499
212,721.499
213,721.499
214,721.498
215,721.498
216,721.497
217,721.495
218,721.493
219,721.49
220,721.486
221,721.481
222,721.473
223,721.461
224,721.446
225,721.424
226,721.393
227,721.35
228,721.289
229,721.204
230,721.085
231,720.918
232,720.685
233,720.36
234,719.908
235,719.281
236,718.414
237,717.223
238,715.6
239,713.406
240,710.478
241,706.63
242,701.666
243,695.399
244,687.676
245,678.4
246,667.547
247,655.172
248,641.399
249,626.413
250,610.431
251,593.692
252,576.432
253,558.874
254,541.224
255,523.658
256,506.329
257,489.359
258,472.849
259,456.876
260,441.496
261,426.746
262,412.652
263,399.225
264,386.467
265,374.375
266,362.935
267,352.132
268,341.945
269,332.353
270,323.33
271,314.853
272,306.894
273,299.427
274,292.428
275,285.87
276,279.729
277,273.981
278,268.603
279,263.573
280,258.869
281,254.473
282,250.363
283,246.524
284,242.937
285,239.586
286,236.457
287,233.535
288,230.806
289,228.259
290,225.88
291,223.66
292,221.588
293,219.653
294,217.848
295,216.162
296,214.589
297,213.122
298,211.752
299,210.474
300,209.281
301,208.168
302,207.129
303,206.16
304,205.255
305,204.411
306,203.624
307,202.889
308,202.204
309,201.564
310,200.967
311,200.41
312,199.89
313,199.405
314,198.952
315,198.53
316,198.136
317,197.768
318,197.425
319,197.105
320,196.806
321,196.528
322,196.268
323,196.025
324,195.799
325,195.588
326,195.39
327,195.207
328,195.035
329,194.875
330,194.725
331,194.586
332,194.456
333,194.335
334,194.221
335,194.116
336,194.017
337,193.925
338,193.839
339,193.759
340,193.685
341,193.615
342,193.55
343,193.489
344,193.433
345,193.38
346,193.331
347,193.285
348,193.242
349,193.202
350,193.164
351,193.13
352,193.097
353,193.067
354,193.038
355,193.012
356,192.987
357,192.964
358,192.943
359,192.923
360,192.904
361,192.887
362,192.87
363,192.855
364,192.841
365,192.828
366,192.815
367,192.804
368,192.793
369,192.783
370,192.774
371,192.765
372,192.757
373,192.749
374,192.742
375,192.736
376,192.729
377,192.724
378,192.718
379,192.713
380,192.709
381,192.704
382,192.7
383,192.696
384,192.693
385,192.689
386,192.686
387,192.683
388,192.681
389,192.678
390,192.676
391,192.674
392,192.672
393,192.67
394,192.668
395,192.666
396,192.665
397,192.663
398,192.662
399,192.661
400,192.66
