Time,Z.ParticleNumber
200,71.6576
201,71.6572
202,71.6544
203,71.6465
204,71.63
205,71.6008
206,71.5535
207,71.481
208,71.3743
209,71.2218
210,71.0092
211,70.7197
212,70.3343
213,69.8334
214,69.1984
215,68.4146
216,67.4734
217,66.3733
218,65.1211
219,63.7305
220,62.2205
221,60.6136
222,58.9335
223,57.204
224,55.4474
225,53.6838
226,51.9306
227,50.2026
228,48.512
229,46.8683
230,45.279
231,43.7494
232,42.2832
233,40.8827
234,39.549
235,38.2823
236,37.0818
237,35.9465
238,34.8746
239,33.864
240,32.9125
241,32.0178
242,31.1771
243,30.3879
244,29.6477
245,28.9538
246,28.3038
247,27.6951
248,27.1254
249,26.5923
250,26.0938
251,25.6277
252,25.192
253,24.7848
254,24.4044
255,24.049
256,23.717
257,23.4069
258,23.1174
259,22.847
260,22.5946
261,22.3589
262,22.139
263,21.9336
264,21.742
265,21.5631
266,21.3961
267,21.2403
268,21.0949
269,20.9592
270,20.8326
271,20.7144
272,20.6041
273,20.5012
274,20.4051
275,20.3155
276,20.2319
277,20.1539
278,20.0811
279,20.0132
280,19.9498
281,19.8907
282,19.8355
283,19.784
284,19.736
285,19.6912
286,19.6494
287,19.6104
288,19.574
289,19.54
290,19.5083
291,19.4787
292,19.4511
293,19.4253
294,19.4013
295,19.3788
296,19.3579
297,19.3384
298,19.3201
299,19.3031
300,19.2873
301,19.2725
302,19.2587
303,19.2458
304,19.2338
305,19.2226
306,19.2121
307,19.2024
308,19.1933
309,19.1848
310,19.1769
311,19.1695
312,19.1627
313,19.1562
314,19.1503
315,19.1447
316,19.1394
317,19.1345
318,19.13
319,19.1257
320,19.1218
321,19.1181
322,19.1146
323,19.1114
324,19.1083
325,19.1055
326,19.1029
327,19.1004
328,19.0981
329,19.096
330,19.094
331,19.0921
332,19.0904
333,19.0887
334,19.0872
335,19.0858
336,19.0845
337,19.0833
338,19.0821
339,19.0811
340,19.0801
341,19.0792
342,19.0783
343,19.0775
344,19.0768
345,19.0761
346,19.0754
347,19.0748
348,19.0743
349,19.0737
350,19.0732
351,19.0728
352,19.0723
353,19.0719
354,19.0716
355,19.0712
356,19.0709
357,19.0706
358,19.0703
359,19.07
360,19.0697
361,19.0695
362,19.0692
363,19.069
364,19.0688
365,19.0686
366,19.0684
367,19.0683
368,19.0681
369,19.068
370,19.0678
371,19.0677
372,19.0676
373,19.0675
374,19.0674
375,19.0673
376,19.0672
377,19.0671
378,19.0671
379,19.067
380,19.0669
381,19.0669
382,19.0668
383,19.0668
384,19.0667
385,19.0667
386,19.0667
387,19.0667
388,19.0666
389,19.0666
390,19.0666
391,19.0666
392,19.0666
393,19.0665
394,19.0665
395,19.0665
396,19.0665
397,19.0665
398,19.0665
399,19.0665
400,19.0665
