Time,Z.ParticleNumber
400,9
401,8
402,7
403,7
404,7
405,6
406,4
407,4
408,4
409,3
410,3
411,3
412,3
413,4
414,4
415,4
416,4
417,5
418,5
419,9
420,8
421,10
422,10
423,10
424,11
425,11
426,10
427,10
428,10
429,7
430,9
431,9
432,9
433,9
434,9
435,9
436,15
437,16
438,16
439,15
440,14
441,13
442,13
443,12
444,12
445,11
446,11
447,10
448,9
449,8
450,7
451,7
452,7
453,7
454,6
455,6
456,8
457,10
458,9
459,9
460,8
461,7
462,6
463,7
464,7
465,7
466,9
467,9
468,10
469,15
470,18
471,21
472,21
473,26
474,25
475,25
476,24
477,22
478,21
479,20
480,20
481,20
482,20
483,17
484,19
485,21
486,20
487,19
488,18
489,15
490,15
491,15
492,15
493,16
494,15
495,12
496,14
497,14
498,14
499,15
500,14
501,18
502,17
503,18
504,22
505,23
506,23
507,25
508,25
509,28
510,32
511,33
512,30
513,27
514,29
515,37
516,45
517,45
518,49
519,50
520,50
521,51
522,44
523,42
524,41
525,41
526,39
527,35
528,30
529,31
530,33
531,31
532,29
533,29
534,29
535,28
536,28
537,28
538,29
539,28
540,26
541,24
542,22
543,22
544,20
545,20
546,19
547,20
548,19
549,19
550,17
551,16
552,16
553,15
554,13
555,14
556,14
557,14
558,11
559,12
560,13
561,13
562,13
563,11
564,10
565,10
566,10
567,10
568,11
569,10
570,10
571,10
572,10
573,10
574,9
575,7
576,7
577,9
578,9
579,7
580,7
581,8
582,8
583,9
584,7
585,7
586,5
587,5
588,5
589,5
590,4
591,4
592,3
593,3
594,3
595,2
596,2
597,2
598,2
599,2
600,2

400,48
401,43
402,41
403,39
404,37
405,35
406,35
407,35
408,34
409,30
410,28
411,26
412,25
413,24
414,25
415,26
416,27
417,27
418,27
419,26
420,24
421,23
422,25
423,23
424,22
425,21
426,20
427,22
428,23
429,23
430,25
431,22
432,22
433,22
434,23
435,21
436,21
437,22
438,20
439,22
440,21
441,20
442,18
443,18
444,17
445,16
446,14
447,12
448,12
449,12
450,11
451,10
452,10
453,10
454,10
455,10
456,9
457,8
458,8
459,8
460,8
461,8
462,8
463,8
464,8
465,8
466,8
467,8
468,7
469,8
470,8
471,8
