Time,Z.ParticleNumber
200,72.0063
201,72.0063
202,72.0056
203,72.0039
204,72.0006
205,71.9953
206,71.9875
207,71.9768
208,71.9629
209,71.9458
210,71.9251
211,71.9009
212,71.8729
213,71.8411
214,71.8054
215,71.7655
216,71.7213
217,71.6722
218,71.6181
219,71.5583
220,71.4922
221,71.4192
222,71.3385
223,71.2492
224,71.1504
225,71.041
226,70.9197
227,70.7855
228,70.6368
229,70.4724
230,70.2907
231,70.0901
232,69.8691
233,69.626
234,69.3592
235,69.0671
236,68.748
237,68.4004
238,68.0229
239,67.6141
240,67.1728
241,66.6981
242,66.1892
243,65.6455
244,65.0668
245,64.453
246,63.8044
247,63.1217
248,62.4055
249,61.6571
250,60.878
251,60.0697
252,59.2342
253,58.3737
254,57.4905
255,56.587
256,55.6659
257,54.7298
258,53.7815
259,52.8236
260,51.859
261,50.8901
262,49.9198
263,48.9504
264,47.9844
265,47.0242
266,46.0717
267,45.1291
268,44.1983
269,43.2808
270,42.3782
271,41.492
272,40.6234
273,39.7733
274,38.9428
275,38.1326
276,37.3434
277,36.5756
278,35.8297
279,35.106
280,34.4046
281,33.7257
282,33.0692
283,32.435
284,31.8231
285,31.2331
286,30.6648
287,30.1179
288,29.592
289,29.0868
290,28.6017
291,28.1363
292,27.6901
293,27.2627
294,26.8534
295,26.4617
296,26.0872
297,25.7292
298,25.3872
299,25.0607
300,24.7491
301,24.4518
302,24.1684
303,23.8983
304,23.641
305,23.396
306,23.1628
307,22.9409
308,22.7299
309,22.5292
310,22.3385
311,22.1572
312,21.9851
313,21.8217
314,21.6665
315,21.5193
316,21.3796
317,21.2471
318,21.1215
319,21.0024
320,20.8896
321,20.7826
322,20.6813
323,20.5854
324,20.4945
325,20.4085
326,20.3271
327,20.2501
328,20.1772
329,20.1083
330,20.0431
331,19.9814
332,19.9231
333,19.868
334,19.8159
335,19.7667
336,19.7202
337,19.6763
338,19.6348
339,19.5956
340,19.5586
341,19.5237
342,19.4907
343,19.4596
344,19.4302
345,19.4025
346,19.3763
347,19.3517
348,19.3284
349,19.3064
350,19.2857
351,19.2662
352,19.2478
353,19.2305
354,19.2141
355,19.1987
356,19.1842
357,19.1705
358,19.1576
359,19.1454
360,19.134
361,19.1232
362,19.113
363,19.1035
364,19.0945
365,19.086
366,19.078
367,19.0705
368,19.0634
369,19.0567
370,19.0504
371,19.0445
372,19.039
373,19.0337
374,19.0288
375,19.0242
376,19.0198
377,19.0157
378,19.0119
379,19.0082
380,19.0048
381,19.0016
382,18.9986
383,18.9957
384,18.9931
385,18.9905
386,18.9882
387,18.9859
388,18.9838
389,18.9819
390,18.98
391,18.9783
392,18.9767
393,18.9751
394,18.9737
395,18.9723
396,18.971
397,18.9698
398,18.9687
399,18.9676
400,18.9666
