Time,Z.ParticleNumber
0,0
1,4.56304
2,16.7264
3,34.4933
4,56.161
5,80.2147
6,105.298
7,130.234
8,154.065
9,176.077
10,195.799
11,212.97
12,227.502
13,239.432
14,248.887
15,256.05
16,261.135
17,264.368
18,265.977
19,266.182
20,265.187
21,263.183
22,260.34
23,256.812
24,252.735
25,248.226
26,243.39
27,238.315
28,233.078
29,227.744
30,222.366
31,216.991
32,211.657
33,206.395
34,201.229
35,196.181
36,191.267
37,186.497
38,181.881
39,177.425
40,173.134
41,169.009
42,165.05
43,161.258
44,157.63
45,154.164
46,150.855
47,147.701
48,144.697
49,141.837
50,139.118
51,136.535
52,134.081
53,131.753
54,129.544
55,127.451
56,125.467
57,123.587
58,121.808
59,120.124
60,118.531
61,117.025
62,115.6
63,114.254
64,112.982
65,111.78
66,110.645
67,109.573
68,108.561
69,107.606
70,106.705
71,105.855
72,105.053
73,104.296
74,103.583
75,102.91
76,102.276
77,101.679
78,101.115
79,100.585
80,100.084
81,99.6133
82,99.1694
83,98.7514
84,98.3576
85,97.9868
86,97.6377
87,97.309
88,96.9995
89,96.7082
90,96.4341
91,96.176
92,95.9332
93,95.7047
94,95.4897
95,95.2874
96,95.097
97,94.918
98,94.7496
99,94.5912
100,94.4422
101,94.3021
102,94.1703
103,94.0464
104,93.9298
105,93.8203
106,93.7173
107,93.6205
108,93.5294
109,93.4439
110,93.3635
111,93.2879
112,93.2169
113,93.1501
114,93.0874
115,93.0285
116,92.9731
117,92.9211
118,92.8722
119,92.8263
120,92.7832
121,92.7426
122,92.7046
123,92.6688
124,92.6352
125,92.6036
126,92.574
127,92.5462
128,92.52
129,92.4954
130,92.4724
131,92.4507
132,92.4304
133,92.4113
134,92.3933
135,92.3765
136,92.3607
137,92.3459
138,92.3319
139,92.3189
140,92.3066
141,92.2951
142,92.2843
143,92.2741
144,92.2646
145,92.2557
146,92.2473
147,92.2395
148,92.2321
149,92.2252
150,92.2186
151,92.2125
152,92.2068
153,92.2015
154,92.1964
155,92.1917
156,92.1872
157,92.183
158,92.1791
159,92.1755
160,92.172
161,92.1688
162,92.1657
163,92.1629
164,92.1602
165,92.1577
166,92.1553
167,92.1531
168,92.1511
169,92.1491
170,92.1473
171,92.1456
172,92.144
173,92.1425
174,92.1411
175,92.1398
176,92.1385
177,92.1374
178,92.1363
179,92.1353
180,92.1344
181,92.1335
182,92.1327
183,92.1319
184,92.1311
185,92.1304
186,92.1298
187,92.1292
188,92.1287
189,92.1281
190,92.1276
191,92.1272
192,92.1267
193,92.1263
194,92.1259
195,92.1256
196,92.1252
197,92.1249
198,92.1246
199,92.1243
200,92.1241
