Time,Z.ParticleNumber
200,82
201,81
202,82
203,81
204,79
205,85
206,85
207,79
208,83
209,86
210,89
211,91
212,90
213,90
214,92
215,95
216,92
217,96
218,101
219,106
220,103
221,95
222,97
223,96
224,94
225,87
226,88
227,84
228,81
229,77
230,71
231,68
232,67
233,68
234,68
235,63
236,58
237,55
238,56
239,54
240,50
241,45
242,41
243,39
244,38
245,35
246,31
247,31
248,29
249,27
250,27
251,26
252,25
253,23
254,22
255,20
256,21
257,21
258,20
259,19
260,20
261,22
262,22
263,23
264,23
265,23
266,24
267,23
268,26
269,27
270,27
271,27
272,28
273,28
274,30
275,32
276,32
277,28
278,28
279,27
280,29
281,33
282,38
283,38
284,40
285,40
286,38
287,42
288,41
289,37
290,36
291,38
292,39
293,39
294,39
295,39
296,37
297,39
298,38
299,37
300,35
301,35
302,39
303,39
304,41
305,40
306,39
307,35
308,34
309,33
310,30
311,30
312,29
313,30
314,29
315,26
316,28
317,30
318,29
319,30
320,30
321,32
322,32
323,32
324,32
325,34
326,33
327,36
328,35
329,31
330,29
331,31
332,33
333,36
334,36
335,34
336,31
337,33
338,37
339,41
340,40
341,45
342,44
343,41
344,40
345,40
346,38
347,35
348,34
349,33
350,34
351,31
352,33
353,32
354,35
355,36
356,38
357,40
358,37
359,38
360,36
361,37
362,39
363,38
364,38
365,40
366,41
367,46
368,47
369,48
370,46
371,46
372,45
373,42
374,41
375,45
376,44
377,42
378,44
379,42
380,47
381,46
382,46
383,44
384,40
385,37
386,37
387,38
388,38
389,39
390,38
391,43
392,46
393,47
394,48
395,50
396,53
397,55
398,53
399,52
400,53

200,79
201,78
202,74
203,69
204,69
205,72
206,74
207,73
208,73
209,74
210,68
211,73
212,78
213,78
214,84
215,85
216,78
217,72
218,73
219,73
220,72
221,77
222,76
223,80
224,79
225,75
226,69
227,68
228,62
229,59
230,54
231,52
232,49
233,46
234,46
235,45
236,42
237,41
238,38
239,34
240,32
241,29
242,30
243,29
244,28
245,26
246,26
247,24
248,26
249,26
250,25
251,27
252,27
253,29
254,29
255,27
256,28
257,28
258,26
259,24
260,27
261,27
262,28
263,25
264,26
265,27
266,26
267,24
268,25
269,27
270,31
271,30
272,32
273,30
274,26
275,25
276,28
277,31
278,32
279,34
280,34
281,33
282,33
283,29
284,25
285,23
286,23
287,23
288,21
289,21
290,19
291,17
292,18
293,18
294,18
295,18
296,19
297,18
298,17
299,17
300,18
301,21
302,21
303,20
304,18
305,20
306,19
307,20
308,20
309,24
310,23
311,22
312,24
313,22
314,22
315,23
316,25
317,28
318,29
319,28
320,29
321,23
322,21
323,18
324,21
325,24
326,27
327,29
328,35
329,37
330,46
331,48
332,50
333,47
334,49
335,48
336,47
337,47
338,43
339,46
340,42
341,45
342,47
343,50
344,51
345,50
346,50
347,50
348,51
349,47
350,42
351,40
352,40
353,37
354,37
355,36
356,35
357,37
358,36
359,36
360,37
361,40
362,38
363,39
364,41
365,41
366,37
367,40
368,43
369,44
370,45
371,43
372,41
373,44
374,49
375,49
376,51
377,51
378,42
379,41
380,41
381,36
382,34
383,37
384,34
385,34
386,34
387,31
388,30
389,31
390,33
391,34
392,35
393,34
394,37
395,35
396,35
397,30
398,29
399,27
400,26

200,99
201,98
202,97
203,96
204,93
205,95
206,90
207,89
208,83
209,80
210,75
211,75
212,72
213,71
214,73
215,69
216,71
217,73
218,77
219,75
220,76
221,75
222,73
223,73
224,66
225,69
226,70
227,63
228,58
229,54
230,50
231,45
232,44
233,42
234,42
235,39
236,39
237,39
238,39
239,35
240,34
241,34
242,32
243,28
244,25
245,23
246,19
247,17
248,16
249,15
250,16
251,16
252,19
253,19
254,17
255,18
256,17
257,20
258,21
259,25
260,25
261,26
262,27
263,32
264,29
265,28
266,29
267,30
268,34
269,32
270,32
271,35
272,35
273,33
274,30
275,33
276,35
277,35
278,38
279,37
280,36
281,34
282,35
283,35
284,34
285,34
286,35
287,35
288,41
289,39
290,38
291,35
292,36
293,36
294,37
295,37
296,36
297,32
298,29
299,29
300,27
301,28
302,28
303,30
304,31
305,29
306,29
307,29
308,29
309,27
310,29
