Time,Z.ParticleNumber
200,92.1241
201,92.1237
202,92.1224
203,92.1193
204,92.1131
205,92.1024
206,92.0851
207,92.0586
208,92.0193
209,91.9623
210,91.8809
211,91.7664
212,91.6067
213,91.3867
214,91.0867
215,90.683
216,90.1478
217,89.4507
218,88.5613
219,87.4526
220,86.1046
221,84.5076
222,82.6642
223,80.5883
224,78.3043
225,75.8442
226,73.2443
227,70.5425
228,67.7764
229,64.9811
230,62.1888
231,59.4275
232,56.7215
233,54.0911
234,51.5529
235,49.1202
236,46.8033
237,44.6097
238,42.5449
239,40.6123
240,38.8136
241,37.1491
242,35.6178
243,34.2179
244,32.9464
245,31.7999
246,30.774
247,29.8641
248,29.0648
249,28.3708
250,27.7761
251,27.2747
252,26.8604
253,26.527
254,26.2684
255,26.0782
256,25.9506
257,25.8795
258,25.8594
259,25.8847
260,25.9503
261,26.0514
262,26.1832
263,26.3415
264,26.5224
265,26.7222
266,26.9376
267,27.1654
268,27.4031
269,27.6481
270,27.8982
271,28.1514
272,28.4059
273,28.6604
274,28.9134
275,29.1638
276,29.4106
277,29.653
278,29.8904
279,30.1222
280,30.3479
281,30.5671
282,30.7796
283,30.9851
284,31.1836
285,31.375
286,31.5592
287,31.7362
288,31.9062
289,32.0692
290,32.2253
291,32.3747
292,32.5174
293,32.6538
294,32.784
295,32.9081
296,33.0263
297,33.139
298,33.2461
299,33.3481
300,33.445
301,33.5371
302,33.6245
303,33.7075
304,33.7863
305,33.861
306,33.9318
307,33.9989
308,34.0625
309,34.1227
310,34.1797
311,34.2337
312,34.2848
313,34.3331
314,34.3788
315,34.422
316,34.4628
317,34.5014
318,34.5379
319,34.5723
320,34.6049
321,34.6356
322,34.6646
323,34.692
324,34.7179
325,34.7423
326,34.7653
327,34.787
328,34.8075
329,34.8269
330,34.8451
331,34.8623
332,34.8785
333,34.8937
334,34.9081
335,34.9217
336,34.9345
337,34.9465
338,34.9579
339,34.9686
340,34.9786
341,34.9881
342,34.9971
343,35.0055
344,35.0134
345,35.0209
346,35.0279
347,35.0345
348,35.0407
349,35.0466
350,35.0521
351,35.0573
352,35.0622
353,35.0667
354,35.0711
355,35.0751
356,35.0789
357,35.0825
358,35.0859
359,35.0891
360,35.0921
361,35.0949
362,35.0976
363,35.1
364,35.1024
365,35.1046
366,35.1067
367,35.1086
368,35.1104
369,35.1121
370,35.1138
371,35.1153
372,35.1167
373,35.1181
374,35.1193
375,35.1205
376,35.1216
377,35.1227
378,35.1236
379,35.1246
380,35.1254
381,35.1262
382,35.127
383,35.1277
384,35.1284
385,35.129
386,35.1296
387,35.1302
388,35.1307
389,35.1312
390,35.1316
391,35.1321
392,35.1325
393,35.1329
394,35.1332
395,35.1336
396,35.1339
397,35.1342
398,35.1344
399,35.1347
400,35.135
