Time,Z.ParticleNumber
200,720.12
201,716.156
202,705.554
203,690.012
204,670.883
205,649.245
206,625.955
207,601.684
208,576.959
209,552.186
210,527.678
211,503.669
212,480.334
213,457.797
214,436.142
215,415.424
216,395.674
217,376.902
218,359.106
219,342.271
220,326.374
221,311.387
222,297.278
223,284.009
224,271.544
225,259.845
226,248.872
227,238.587
228,228.952
229,219.932
230,211.49
231,203.592
232,196.206
233,189.3
234,182.845
235,176.814
236,171.178
237,165.913
238,160.996
239,156.403
240,152.115
241,148.111
242,144.373
243,140.883
244,137.625
245,134.584
246,131.746
247,129.096
248,126.624
249,124.316
250,122.163
251,120.153
252,118.278
253,116.528
254,114.895
255,113.371
256,111.949
257,110.622
258,109.384
259,108.228
260,107.15
261,106.144
262,105.206
263,104.33
264,103.512
265,102.75
266,102.038
267,101.374
268,100.755
269,100.177
270,99.6375
271,99.1343
272,98.6647
273,98.2266
274,97.8178
275,97.4364
276,97.0805
277,96.7484
278,96.4385
279,96.1494
280,95.8797
281,95.628
282,95.3931
283,95.174
284,94.9696
285,94.7788
286,94.6009
287,94.4348
288,94.2799
289,94.1353
290,94.0005
291,93.8746
292,93.7572
293,93.6476
294,93.5454
295,93.45
296,93.3609
297,93.2779
298,93.2004
299,93.1281
300,93.0606
301,92.9976
302,92.9389
303,92.8841
304,92.8329
305,92.7852
306,92.7407
307,92.6992
308,92.6604
309,92.6243
310,92.5906
311,92.5591
312,92.5297
313,92.5023
314,92.4768
315,92.4529
316,92.4306
317,92.4098
318,92.3904
319,92.3724
320,92.3555
321,92.3397
322,92.325
323,92.3113
324,92.2985
325,92.2865
326,92.2754
327,92.265
328,92.2553
329,92.2462
330,92.2378
331,92.2299
332,92.2226
333,92.2157
334,92.2093
335,92.2034
336,92.1978
337,92.1926
338,92.1878
339,92.1833
340,92.1791
341,92.1751
342,92.1714
343,92.168
344,92.1648
345,92.1618
346,92.159
347,92.1564
348,92.154
349,92.1517
350,92.1496
351,92.1476
352,92.1458
353,92.1441
354,92.1425
355,92.1409
356,92.1395
357,92.1382
358,92.137
359,92.1359
360,92.1348
361,92.1338
362,92.1329
363,92.132
364,92.1312
365,92.1305
366,92.1298
367,92.1291
368,92.1285
369,92.1279
370,92.1274
371,92.1269
372,92.1265
373,92.1261
374,92.1257
375,92.1253
376,92.1249
377,92.1246
378,92.1243
379,92.1241
380,92.1238
381,92.1236
382,92.1233
383,92.1231
384,92.1229
385,92.1227
386,92.1226
387,92.1224
388,92.1222
389,92.1221
390,92.122
391,92.1218
392,92.1217
393,92.1216
394,92.1215
395,92.1214
396,92.1213
397,92.1212
398,92.1211
399,92.121
400,92.121
