Time,Z.ParticleNumber
0,0
1,0.740207
2,2.77837
3,5.86517
4,9.78093
5,14.3315
6,19.3456
7,24.674
8,30.1876
9,35.7771
10,41.3512
11,46.8353
12,52.1703
13,57.3101
14,62.2206
15,66.8779
16,71.2665
17,75.3779
18,79.2097
19,82.7638
20,86.046
21,89.0648
22,91.8308
23,94.3558
24,96.653
25,98.7358
26,100.618
27,102.313
28,103.835
29,105.196
30,106.41
31,107.488
32,108.441
33,109.281
34,110.018
35,110.661
36,111.218
37,111.698
38,112.109
39,112.456
40,112.748
41,112.989
42,113.185
43,113.341
44,113.461
45,113.55
46,113.61
47,113.646
48,113.661
49,113.656
50,113.635
51,113.6
52,113.553
53,113.495
54,113.429
55,113.356
56,113.276
57,113.192
58,113.103
59,113.012
60,112.919
61,112.824
62,112.729
63,112.633
64,112.537
65,112.443
66,112.349
67,112.256
68,112.165
69,112.075
70,111.988
71,111.903
72,111.82
73,111.739
74,111.66
75,111.584
76,111.51
77,111.439
78,111.37
79,111.304
80,111.24
81,111.178
82,111.119
83,111.062
84,111.008
85,110.956
86,110.905
87,110.857
88,110.812
89,110.768
90,110.726
91,110.686
92,110.647
93,110.611
94,110.576
95,110.543
96,110.511
97,110.481
98,110.452
99,110.425
100,110.399
101,110.374
102,110.351
103,110.328
104,110.307
105,110.287
106,110.268
107,110.25
108,110.233
109,110.216
110,110.201
111,110.186
112,110.172
113,110.159
114,110.146
115,110.135
116,110.123
117,110.113
118,110.103
119,110.093
120,110.084
121,110.076
122,110.068
123,110.06
124,110.053
125,110.046
126,110.04
127,110.034
128,110.028
129,110.023
130,110.018
131,110.013
132,110.008
133,110.004
134,110
135,109.996
136,109.992
137,109.989
138,109.986
139,109.983
140,109.98
141,109.977
142,109.974
143,109.972
144,109.97
145,109.968
146,109.966
147,109.964
148,109.962
149,109.96
150,109.959
151,109.957
152,109.956
153,109.954
154,109.953
155,109.952
156,109.951
157,109.95
158,109.949
159,109.948
160,109.947
161,109.946
162,109.946
163,109.945
164,109.944
165,109.943
166,109.943
167,109.942
168,109.942
169,109.941
170,109.941
171,109.94
172,109.94
173,109.939
174,109.939
175,109.939
176,109.938
177,109.938
178,109.938
179,109.938
180,109.937
181,109.937
182,109.937
183,109.937
184,109.936
185,109.936
186,109.936
187,109.936
188,109.936
189,109.936
190,109.935
191,109.935
192,109.935
193,109.935
194,109.935
195,109.935
196,109.935
197,109.935
198,109.935
199,109.935
200,109.935
