Time,Z.ParticleNumber
200,109.935
201,109.934
202,109.933
203,109.929
204,109.922
205,109.909
206,109.888
207,109.856
208,109.807
209,109.736
210,109.634
211,109.49
212,109.289
213,109.01
214,108.629
215,108.116
216,107.435
217,106.547
218,105.416
219,104.007
220,102.295
221,100.272
222,97.9402
223,95.3212
224,92.4469
225,89.3585
226,86.1019
227,82.7241
228,79.2708
229,75.7839
230,72.3007
231,68.8533
232,65.4681
233,62.1666
234,58.9657
235,55.8779
236,52.9122
237,50.0745
238,47.3681
239,44.7942
240,42.3522
241,40.0404
242,37.8558
243,35.7948
244,33.853
245,32.0259
246,30.3084
247,28.6955
248,27.182
249,25.7629
250,24.4329
251,23.1873
252,22.0212
253,20.93
254,19.9093
255,18.9547
256,18.0623
257,17.2282
258,16.4488
259,15.7206
260,15.0403
261,14.405
262,13.8116
263,13.2576
264,12.7403
265,12.2574
266,11.8065
267,11.3857
268,10.9928
269,10.6262
270,10.284
271,9.96455
272,9.66644
273,9.38824
274,9.12862
275,8.88635
276,8.66029
277,8.44934
278,8.25249
279,8.06882
280,7.89746
281,7.73757
282,7.58835
283,7.44912
284,7.31923
285,7.19802
286,7.08489
287,6.97933
288,6.88084
289,6.78893
290,6.70315
291,6.62311
292,6.54843
293,6.47874
294,6.41371
295,6.35304
296,6.29645
297,6.24364
298,6.19436
299,6.14839
300,6.10551
301,6.0655
302,6.02817
303,5.99332
304,5.96083
305,5.93051
306,5.90221
307,5.87579
308,5.85115
309,5.82815
310,5.80669
311,5.78666
312,5.76796
313,5.75052
314,5.73424
315,5.71905
316,5.70487
317,5.69165
318,5.67931
319,5.66779
320,5.65704
321,5.64703
322,5.63769
323,5.62898
324,5.62086
325,5.61328
326,5.60619
327,5.59959
328,5.59345
329,5.58772
330,5.58237
331,5.57738
332,5.5727
333,5.56834
334,5.56428
335,5.5605
336,5.55696
337,5.55365
338,5.55055
339,5.54766
340,5.54497
341,5.54245
342,5.5401
343,5.5379
344,5.53585
345,5.53393
346,5.53215
347,5.53048
348,5.52892
349,5.52747
350,5.52612
351,5.52485
352,5.52368
353,5.52258
354,5.52156
355,5.5206
356,5.51971
357,5.51888
358,5.51811
359,5.51741
360,5.51675
361,5.51614
362,5.51556
363,5.51503
364,5.51452
365,5.51404
366,5.5136
367,5.5132
368,5.51283
369,5.51249
370,5.51216
371,5.51186
372,5.51157
373,5.51129
374,5.51103
375,5.51079
376,5.51056
377,5.51035
378,5.51016
379,5.50997
380,5.5098
381,5.50963
382,5.50947
383,5.50932
384,5.50918
385,5.50905
386,5.50893
387,5.50881
388,5.50871
389,5.5086
390,5.50851
391,5.50842
392,5.50834
393,5.50826
394,5.50819
395,5.50812
396,5.50806
397,5.508
398,5.50795
399,5.5079
400,5.50785
