Time,Z.ParticleNumber
200,720.119
201,716.271
202,705.972
203,690.872
204,672.286
205,651.263
206,628.633
207,605.051
208,581.028
209,556.958
210,533.144
211,509.817
212,487.144
213,465.245
214,444.204
215,424.073
216,404.883
217,386.643
218,369.352
219,352.994
220,337.548
221,322.986
222,309.276
223,296.384
224,284.272
225,272.904
226,262.242
227,252.249
228,242.887
229,234.122
230,225.92
231,218.246
232,211.069
233,204.359
234,198.087
235,192.226
236,186.75
237,181.635
238,176.857
239,172.395
240,168.228
241,164.337
242,160.705
243,157.314
244,154.148
245,151.194
246,148.436
247,145.862
248,143.459
249,141.217
250,139.125
251,137.172
252,135.35
253,133.649
254,132.063
255,130.582
256,129.2
257,127.911
258,126.708
259,125.585
260,124.538
261,123.56
262,122.648
263,121.797
264,121.003
265,120.262
266,119.571
267,118.925
268,118.324
269,117.762
270,117.238
271,116.749
272,116.293
273,115.867
274,115.47
275,115.099
276,114.753
277,114.431
278,114.13
279,113.849
280,113.587
281,113.342
282,113.114
283,112.901
284,112.702
285,112.517
286,112.344
287,112.183
288,112.032
289,111.892
290,111.76
291,111.638
292,111.524
293,111.418
294,111.318
295,111.226
296,111.139
297,111.058
298,110.983
299,110.913
300,110.847
301,110.786
302,110.729
303,110.676
304,110.626
305,110.58
306,110.536
307,110.496
308,110.458
309,110.423
310,110.391
311,110.36
312,110.331
313,110.305
314,110.28
315,110.257
316,110.235
317,110.215
318,110.196
319,110.179
320,110.162
321,110.147
322,110.133
323,110.119
324,110.107
325,110.095
326,110.084
327,110.074
328,110.065
329,110.056
330,110.048
331,110.04
332,110.033
333,110.026
334,110.02
335,110.014
336,110.009
337,110.004
338,109.999
339,109.995
340,109.991
341,109.987
342,109.983
343,109.98
344,109.977
345,109.974
346,109.971
347,109.969
348,109.966
349,109.964
350,109.962
351,109.96
352,109.958
353,109.957
354,109.955
355,109.954
356,109.952
357,109.951
358,109.95
359,109.949
360,109.948
361,109.947
362,109.946
363,109.945
364,109.944
365,109.943
366,109.943
367,109.942
368,109.942
369,109.941
370,109.941
371,109.94
372,109.94
373,109.939
374,109.939
375,109.938
376,109.938
377,109.938
378,109.938
379,109.937
380,109.937
381,109.937
382,109.937
383,109.936
384,109.936
385,109.936
386,109.936
387,109.936
388,109.936
389,109.935
390,109.935
391,109.935
392,109.935
393,109.935
394,109.935
395,109.935
396,109.935
397,109.935
398,109.934
399,109.934
400,109.934
