Time,Z.ParticleNumber
0,0
1,0.0610268
2,0.223507
3,0.461506
4,0.753917
5,1.0841
6,1.43882
7,1.80752
8,2.1824
9,2.55742
10,2.92782
11,3.28995
12,3.64117
13,3.97965
14,4.30417
15,4.61397
16,4.90865
17,5.18806
18,5.45234
19,5.70174
20,5.93666
21,6.15761
22,6.36511
23,6.55975
24,6.74212
25,6.91283
26,7.07254
27,7.2218
28,7.36126
29,7.49148
30,7.61302
31,7.72642
32,7.83218
33,7.93079
34,8.0227
35,8.10834
36,8.18814
37,8.26246
38,8.33168
39,8.39614
40,8.45616
41,8.51202
42,8.56404
43,8.61246
44,8.65751
45,8.69945
46,8.73847
47,8.77478
48,8.80856
49,8.84
50,8.86924
51,8.89644
52,8.92177
53,8.94532
54,8.96723
55,8.98761
56,9.00658
57,9.02421
58,9.04061
59,9.05587
60,9.07007
61,9.08326
62,9.09553
63,9.10695
64,9.11756
65,9.12743
66,9.1366
67,9.14514
68,9.15308
69,9.16045
70,9.16732
71,9.17371
72,9.17965
73,9.18517
74,9.1903
75,9.19507
76,9.19952
77,9.20366
78,9.2075
79,9.21106
80,9.21437
81,9.21746
82,9.22034
83,9.223
84,9.22547
85,9.22777
86,9.22991
87,9.2319
88,9.23375
89,9.23546
90,9.23706
91,9.23854
92,9.23992
93,9.2412
94,9.24239
95,9.2435
96,9.24454
97,9.2455
98,9.2464
99,9.24722
100,9.24799
101,9.24871
102,9.24938
103,9.25001
104,9.25059
105,9.25112
106,9.25162
107,9.25207
108,9.25251
109,9.25291
110,9.25328
111,9.25363
112,9.25395
113,9.25424
114,9.25451
115,9.25476
116,9.255
117,9.25522
118,9.25542
119,9.25561
120,9.25578
121,9.25594
122,9.25609
123,9.25623
124,9.25636
125,9.25648
126,9.25659
127,9.25669
128,9.25679
129,9.25688
130,9.25697
131,9.25704
132,9.25712
133,9.25719
134,9.25725
135,9.25731
136,9.25736
137,9.25741
138,9.25746
139,9.25751
140,9.25755
141,9.25759
142,9.25763
143,9.25766
144,9.25769
145,9.25771
146,9.25774
147,9.25776
148,9.25779
149,9.25781
150,9.25783
151,9.25785
152,9.25786
153,9.25788
154,9.25789
155,9.2579
156,9.25791
157,9.25792
158,9.25793
159,9.25794
160,9.25794
161,9.25795
162,9.25796
163,9.25796
164,9.25796
165,9.25797
166,9.25797
167,9.25797
168,9.25798
169,9.25798
170,9.25798
171,9.25798
172,9.25798
173,9.25799
174,9.25799
175,9.25799
176,9.25799
177,9.25799
178,9.25799
179,9.25799
180,9.25799
181,9.25799
182,9.25799
183,9.25799
184,9.25799
185,9.25799
186,9.25799
187,9.25799
188,9.25799
189,9.25799
190,9.25799
191,9.25799
192,9.25799
193,9.25799
194,9.25799
195,9.25799
196,9.25799
197,9.25799
198,9.25799
199,9.25799
200,9.25799
