Time,Z.ParticleNumber
200,9.25799
201,9.25686
202,9.24903
203,9.22809
204,9.18803
205,9.12362
206,9.03071
207,8.90666
208,8.75056
209,8.56325
210,8.3471
211,8.1056
212,7.84299
213,7.56386
214,7.27279
215,6.97414
216,6.67184
217,6.36936
218,6.06963
219,5.7751
220,5.4877
221,5.20895
222,4.93998
223,4.6816
224,4.43435
225,4.19853
226,3.97424
227,3.76144
228,3.55998
229,3.36961
230,3.19
231,3.0208
232,2.86157
233,2.71191
234,2.57135
235,2.43946
236,2.31579
237,2.1999
238,2.09136
239,1.98974
240,1.89465
241,1.8057
242,1.72252
243,1.64476
244,1.57208
245,1.50416
246,1.4407
247,1.38143
248,1.32607
249,1.27436
250,1.22608
251,1.18101
252,1.13892
253,1.09963
254,1.06296
255,1.02873
256,0.996775
257,0.966953
258,0.93912
259,0.913145
260,0.888904
261,0.866281
262,0.84517
263,0.825469
264,0.807085
265,0.789929
266,0.773921
267,0.758984
268,0.745046
269,0.73204
270,0.719905
271,0.708583
272,0.698018
273,0.68816
274,0.678962
275,0.670381
276,0.662373
277,0.6549
278,0.647928
279,0.641422
280,0.635351
281,0.629687
282,0.624401
283,0.61947
284,0.614867
285,0.610574
286,0.606567
287,0.602829
288,0.599342
289,0.596091
290,0.593058
291,0.590229
292,0.58759
293,0.585125
294,0.582826
295,0.580687
296,0.578692
297,0.57683
298,0.575091
299,0.573466
300,0.571949
301,0.570539
302,0.569223
303,0.567995
304,0.566847
305,0.565773
306,0.564769
307,0.563835
308,0.562963
309,0.562149
310,0.561388
311,0.560676
312,0.560011
313,0.559391
314,0.558813
315,0.558273
316,0.557768
317,0.557297
318,0.556858
319,0.556448
320,0.556066
321,0.55571
322,0.555377
323,0.555066
324,0.554777
325,0.55451
326,0.554263
327,0.554033
328,0.553819
329,0.553619
330,0.553433
331,0.553258
332,0.553092
333,0.552937
334,0.552799
335,0.552671
336,0.552553
337,0.552442
338,0.552338
339,0.55224
340,0.552146
341,0.552056
342,0.55197
343,0.551895
344,0.551825
345,0.551759
346,0.551697
347,0.551639
348,0.551583
349,0.551529
350,0.551478
351,0.551428
352,0.551383
353,0.551341
354,0.551301
355,0.551263
356,0.551228
357,0.551194
358,0.551162
359,0.551133
360,0.551105
361,0.551079
362,0.551054
363,0.551031
364,0.55101
365,0.55099
366,0.550971
367,0.550954
368,0.550938
369,0.550923
370,0.55091
371,0.550898
372,0.550887
373,0.550877
374,0.550867
375,0.550859
376,0.55085
377,0.550842
378,0.550835
379,0.550832
380,0.55083
381,0.550828
382,0.550828
383,0.550828
384,0.550828
385,0.550829
386,0.550829
387,0.550829
388,0.550828
389,0.550826
390,0.550824
391,0.550819
392,0.550816
393,0.550818
394,0.55082
395,0.550822
396,0.550823
397,0.550825
398,0.550826
399,0.550827
400,0.550827
