Time,Z.ParticleNumber
0,0
1,0.383112
2,1.4115
3,2.91536
4,4.75394
5,6.80488
6,8.96152
7,11.1307
8,13.2346
9,15.2125
10,17.0211
11,18.6328
12,20.0338
13,21.2211
14,22.1999
15,22.981
16,23.5789
17,24.0101
18,24.2917
19,24.4412
20,24.4754
21,24.4106
22,24.2616
23,24.0417
24,23.7632
25,23.4368
26,23.0723
27,22.678
28,22.2613
29,21.8288
30,21.3859
31,20.9371
32,20.4865
33,20.0374
34,19.5924
35,19.1539
36,18.7237
37,18.3033
38,17.894
39,17.4967
40,17.112
41,16.7404
42,16.3822
43,16.0376
44,15.7065
45,15.3889
46,15.0847
47,14.7936
48,14.5155
49,14.25
50,13.9968
51,13.7555
52,13.5257
53,13.3071
54,13.0993
55,12.9017
56,12.7141
57,12.5361
58,12.3671
59,12.2068
60,12.0549
61,11.9109
62,11.7745
63,11.6454
64,11.5232
65,11.4075
66,11.2981
67,11.1947
68,11.0969
69,11.0044
70,10.9171
71,10.8345
72,10.7566
73,10.683
74,10.6134
75,10.5478
76,10.4859
77,10.4274
78,10.3722
79,10.3202
80,10.2711
81,10.2247
82,10.181
83,10.1399
84,10.101
85,10.0644
86,10.0299
87,9.99744
88,9.96682
89,9.93799
90,9.91082
91,9.88523
92,9.86114
93,9.83845
94,9.81708
95,9.79697
96,9.77804
97,9.76021
98,9.74343
99,9.72762
100,9.71275
101,9.69875
102,9.68558
103,9.67318
104,9.6615
105,9.65052
106,9.64018
107,9.63046
108,9.62132
109,9.61271
110,9.60462
111,9.59702
112,9.58986
113,9.58314
114,9.57682
115,9.57088
116,9.5653
117,9.56005
118,9.55513
119,9.5505
120,9.54616
121,9.54208
122,9.53824
123,9.53463
124,9.53123
125,9.52805
126,9.52507
127,9.52227
128,9.51963
129,9.51715
130,9.51481
131,9.51261
132,9.51055
133,9.50861
134,9.50679
135,9.50508
136,9.50347
137,9.50195
138,9.50052
139,9.49918
140,9.49792
141,9.49674
142,9.49563
143,9.49458
144,9.4936
145,9.49268
146,9.49181
147,9.491
148,9.49024
149,9.48952
150,9.48885
151,9.48822
152,9.48763
153,9.48709
154,9.48658
155,9.4861
156,9.48566
157,9.48524
158,9.48486
159,9.48449
160,9.48415
161,9.48382
162,9.48351
163,9.48322
164,9.48296
165,9.48273
166,9.48251
167,9.4823
168,9.48211
169,9.48192
170,9.48175
171,9.48158
172,9.48142
173,9.48125
174,9.48111
175,9.48098
176,9.48086
177,9.48074
178,9.48063
179,9.48053
180,9.48043
181,9.48033
182,9.48024
183,9.48015
184,9.48006
185,9.47997
186,9.4799
187,9.47982
188,9.47975
189,9.47969
190,9.47962
191,9.47956
192,9.4795
193,9.47945
194,9.4794
195,9.47935
196,9.4793
197,9.47926
198,9.47922
199,9.47918
200,9.47914
