Time,Z.ParticleNumber
200,9.47914
201,9.47795
202,9.46993
203,9.44861
204,9.40806
205,9.34319
206,9.25012
207,9.12643
208,8.97138
209,8.78588
210,8.57228
211,8.33405
212,8.07535
213,7.80066
214,7.51452
215,7.22127
216,6.92492
217,6.62903
218,6.3367
219,6.05055
220,5.77276
221,5.50508
222,5.24891
223,5.0053
224,4.77502
225,4.55857
226,4.35626
227,4.16822
228,3.9944
229,3.83463
230,3.68865
231,3.55606
232,3.43644
233,3.32926
234,3.23396
235,3.14994
236,3.07656
237,3.01318
238,2.95912
239,2.91372
240,2.87632
241,2.84625
242,2.82289
243,2.80561
244,2.79381
245,2.78694
246,2.78445
247,2.78583
248,2.79062
249,2.79837
250,2.80868
251,2.82116
252,2.83549
253,2.85135
254,2.86845
255,2.88655
256,2.90541
257,2.92484
258,2.94466
259,2.96471
260,2.98484
261,3.00495
262,3.02492
263,3.04466
264,3.06411
265,3.0832
266,3.10188
267,3.1201
268,3.13782
269,3.15504
270,3.17172
271,3.18784
272,3.20341
273,3.21841
274,3.23285
275,3.24672
276,3.26004
277,3.27281
278,3.28503
279,3.29673
280,3.30791
281,3.31859
282,3.32879
283,3.33851
284,3.34778
285,3.35661
286,3.36501
287,3.37301
288,3.38062
289,3.38785
290,3.39471
291,3.40123
292,3.40741
293,3.41328
294,3.41885
295,3.42412
296,3.42911
297,3.43384
298,3.43831
299,3.44255
300,3.44656
301,3.45035
302,3.45394
303,3.45733
304,3.46053
305,3.46356
306,3.46643
307,3.46913
308,3.47169
309,3.47411
310,3.47639
311,3.47855
312,3.48059
313,3.48251
314,3.48433
315,3.48605
316,3.48767
317,3.48919
318,3.49063
319,3.49199
320,3.49327
321,3.49448
322,3.49562
323,3.4967
324,3.4977
325,3.49865
326,3.49955
327,3.50039
328,3.50119
329,3.50194
330,3.50264
331,3.5033
332,3.50392
333,3.50451
334,3.50506
335,3.50558
336,3.50607
337,3.50653
338,3.50697
339,3.50738
340,3.50776
341,3.50812
342,3.50847
343,3.50879
344,3.50909
345,3.50938
346,3.50965
347,3.5099
348,3.51014
349,3.51037
350,3.51058
351,3.51078
352,3.51097
353,3.51114
354,3.51131
355,3.51147
356,3.51161
357,3.51175
358,3.51188
359,3.512
360,3.51212
361,3.51222
362,3.51232
363,3.51242
364,3.5125
365,3.51258
366,3.51266
367,3.51273
368,3.5128
369,3.51286
370,3.51292
371,3.51298
372,3.51303
373,3.51307
374,3.51312
375,3.51316
376,3.5132
377,3.51323
378,3.51327
379,3.5133
380,3.51333
381,3.51336
382,3.51339
383,3.51342
384,3.51344
385,3.51347
386,3.51349
387,3.51351
388,3.51353
389,3.51355
390,3.51357
391,3.51359
392,3.5136
393,3.51362
394,3.51364
395,3.51365
396,3.51367
397,3.51368
398,3.51369
399,3.5137
400,3.51372
