Time,Z.ParticleNumber
200,60.4988
201,60.1934
202,59.346
203,58.0942
204,56.549
205,54.7988
206,52.9132
207,50.9467
208,48.9421
209,46.933
210,44.9447
211,42.9966
212,41.1027
213,39.2731
214,37.5149
215,35.8325
216,34.2287
217,32.7044
218,31.2591
219,29.8918
220,28.6006
221,27.3833
222,26.2371
223,25.1593
224,24.1468
225,23.1965
226,22.3052
227,21.4697
228,20.687
229,19.9542
230,19.2683
231,18.6266
232,18.0265
233,17.4654
234,16.941
235,16.4511
236,15.9933
237,15.5656
238,15.1662
239,14.7932
240,14.4449
241,14.1196
242,13.8159
243,13.5324
244,13.2676
245,13.0205
246,12.7899
247,12.5746
248,12.3737
249,12.1862
250,12.0113
251,11.8481
252,11.6958
253,11.5537
254,11.4212
255,11.2975
256,11.1821
257,11.0744
258,10.974
259,10.8801
260,10.7926
261,10.7109
262,10.6347
263,10.5635
264,10.4971
265,10.4351
266,10.3773
267,10.3233
268,10.2729
269,10.226
270,10.1821
271,10.1412
272,10.103
273,10.0675
274,10.0343
275,10.0033
276,9.97435
277,9.94738
278,9.92222
279,9.89873
280,9.8768
281,9.85633
282,9.83723
283,9.81941
284,9.80277
285,9.78724
286,9.77275
287,9.75923
288,9.74662
289,9.73485
290,9.72387
291,9.71363
292,9.70408
293,9.69516
294,9.68687
295,9.67914
296,9.67195
297,9.66523
298,9.65897
299,9.65311
300,9.64763
301,9.64254
302,9.63782
303,9.63342
304,9.62931
305,9.62547
306,9.62187
307,9.61847
308,9.61532
309,9.6124
310,9.60968
311,9.60712
312,9.60473
313,9.60249
314,9.60039
315,9.59842
316,9.59659
317,9.59488
318,9.59329
319,9.59179
320,9.5904
321,9.58909
322,9.58788
323,9.58674
324,9.58568
325,9.5847
326,9.58378
327,9.58292
328,9.58212
329,9.58137
330,9.58068
331,9.58003
332,9.57943
333,9.57887
334,9.57835
335,9.57785
336,9.57739
337,9.57698
338,9.57659
339,9.57623
340,9.5759
341,9.57558
342,9.57528
343,9.575
344,9.57472
345,9.57448
346,9.57426
347,9.57405
348,9.57386
349,9.57368
350,9.57351
351,9.57335
352,9.57321
353,9.57307
354,9.57294
355,9.57282
356,9.5727
357,9.5726
358,9.57249
359,9.57239
360,9.5723
361,9.5722
362,9.57211
363,9.57203
364,9.57196
365,9.57189
366,9.57182
367,9.57176
368,9.5717
369,9.57165
370,9.57161
371,9.57156
372,9.57152
373,9.57148
374,9.57144
375,9.5714
376,9.57137
377,9.57133
378,9.5713
379,9.57126
380,9.57123
381,9.57121
382,9.57118
383,9.57116
384,9.57114
385,9.57113
386,9.57111
387,9.5711
388,9.57109
389,9.57108
390,9.57106
391,9.57104
392,9.57103
393,9.57102
394,9.571
395,9.57099
396,9.57098
397,9.57097
398,9.57096
399,9.57096
400,9.57095
