Time,Z.ParticleNumber
200,720.052
201,720.051
202,720.042
203,720.019
204,719.969
205,719.881
206,719.738
207,719.515
208,719.181
209,718.694
210,717.994
211,717.004
212,715.619
213,713.704
214,711.087
215,707.56
216,702.879
217,696.783
218,689.007
219,679.323
220,667.567
221,653.665
222,637.651
223,619.661
224,599.918
225,578.703
226,556.334
227,533.134
228,509.419
229,485.477
230,461.565
231,437.903
232,414.675
233,392.03
234,370.083
235,348.921
236,328.609
237,309.186
238,290.676
239,273.09
240,256.426
241,240.671
242,225.808
243,211.814
244,198.661
245,186.32
246,174.759
247,163.945
248,153.847
249,144.433
250,135.67
251,127.529
252,119.98
253,112.996
254,106.549
255,100.616
256,95.1712
257,90.1939
258,85.6631
259,81.5592
260,77.8641
261,74.5608
262,71.6332
263,69.0663
264,66.8458
265,64.9581
266,63.3904
267,62.1301
268,61.1651
269,60.4836
270,60.0739
271,59.9245
272,60.0241
273,60.3612
274,60.9243
275,61.702
276,62.6826
277,63.8546
278,65.206
279,66.7252
280,68.4004
281,70.2198
282,72.1715
283,74.2438
284,76.4253
285,78.7045
286,81.0701
287,83.5113
288,86.0175
289,88.5782
290,91.1835
291,93.824
292,96.4904
293,99.1741
294,101.867
295,104.561
296,107.249
297,109.925
298,112.582
299,115.214
300,117.816
301,120.384
302,122.913
303,125.399
304,127.839
305,130.23
306,132.569
307,134.854
308,137.084
309,139.256
310,141.369
311,143.423
312,145.417
313,147.35
314,149.222
315,151.034
316,152.786
317,154.478
318,156.11
319,157.684
320,159.2
321,160.659
322,162.063
323,163.412
324,164.708
325,165.951
326,167.144
327,168.288
328,169.383
329,170.432
330,171.435
331,172.395
332,173.313
333,174.189
334,175.026
335,175.825
336,176.588
337,177.314
338,178.007
339,178.668
340,179.296
341,179.895
342,180.465
343,181.007
344,181.523
345,182.013
346,182.479
347,182.922
348,183.343
349,183.742
350,184.121
351,184.481
352,184.823
353,185.146
354,185.454
355,185.745
356,186.021
357,186.282
358,186.53
359,186.765
360,186.987
361,187.198
362,187.397
363,187.585
364,187.764
365,187.933
366,188.092
367,188.244
368,188.386
369,188.521
370,188.649
371,188.77
372,188.884
373,188.991
374,189.093
375,189.189
376,189.28
377,189.366
378,189.446
379,189.523
380,189.595
381,189.663
382,189.727
383,189.788
384,189.845
385,189.899
386,189.95
387,189.997
388,190.042
389,190.085
390,190.125
391,190.163
392,190.198
393,190.232
394,190.263
395,190.293
396,190.321
397,190.347
398,190.372
399,190.395
400,190.417
