Time,Z.ParticleNumber
200,717.423
201,717.419
202,717.396
203,717.33
204,717.193
205,716.95
206,716.556
207,715.952
208,715.059
209,713.778
210,711.984
211,709.527
212,706.232
213,701.911
214,696.379
215,689.478
216,681.095
217,671.185
218,659.781
219,646.984
220,632.957
221,617.902
222,602.046
223,585.617
224,568.836
225,551.907
226,535.009
227,518.295
228,501.892
229,485.902
230,470.407
231,455.465
232,441.118
233,427.394
234,414.309
235,401.866
236,390.064
237,378.893
238,368.338
239,358.381
240,349.001
241,340.175
242,331.88
243,324.091
244,316.782
245,309.929
246,303.507
247,297.492
248,291.862
249,286.593
250,281.664
251,277.056
252,272.747
253,268.72
254,264.957
255,261.442
256,258.158
257,255.09
258,252.226
259,249.551
260,247.054
261,244.722
262,242.546
263,240.514
264,238.617
265,236.847
266,235.195
267,233.653
268,232.214
269,230.871
270,229.618
271,228.448
272,227.357
273,226.338
274,225.388
275,224.501
276,223.674
277,222.902
278,222.181
279,221.509
280,220.882
281,220.297
282,219.75
283,219.241
284,218.765
285,218.321
286,217.907
287,217.521
288,217.161
289,216.824
290,216.51
291,216.218
292,215.944
293,215.69
294,215.452
295,215.23
296,215.023
297,214.829
298,214.649
299,214.481
300,214.324
301,214.177
302,214.041
303,213.913
304,213.794
305,213.683
306,213.58
307,213.483
308,213.393
309,213.309
310,213.23
311,213.157
312,213.089
313,213.025
314,212.966
315,212.91
316,212.858
317,212.81
318,212.765
319,212.723
320,212.684
321,212.647
322,212.613
323,212.581
324,212.551
325,212.523
326,212.497
327,212.473
328,212.451
329,212.43
330,212.41
331,212.392
332,212.375
333,212.359
334,212.344
335,212.33
336,212.317
337,212.305
338,212.293
339,212.283
340,212.273
341,212.264
342,212.255
343,212.247
344,212.24
345,212.233
346,212.227
347,212.221
348,212.215
349,212.21
350,212.205
351,212.2
352,212.196
353,212.192
354,212.188
355,212.185
356,212.181
357,212.178
358,212.175
359,212.173
360,212.17
361,212.168
362,212.166
363,212.164
364,212.162
365,212.16
366,212.159
367,212.157
368,212.156
369,212.154
370,212.153
371,212.152
372,212.151
373,212.15
374,212.149
375,212.148
376,212.147
377,212.147
378,212.146
379,212.145
380,212.145
381,212.144
382,212.144
383,212.143
384,212.143
385,212.142
386,212.142
387,212.141
388,212.141
389,212.141
390,212.14
391,212.14
392,212.14
393,212.14
394,212.139
395,212.139
396,212.139
397,212.139
398,212.138
399,212.138
400,212.138
