Time,Z.ParticleNumber
200,0.245355
201,0.245355
202,0.245355
203,0.245355
204,0.245355
205,0.245355
206,0.245355
207,0.245354
208,0.245354
209,0.245354
210,0.245354
211,0.245354
212,0.245354
213,0.245354
214,0.245354
215,0.245354
216,0.245354
217,0.245354
218,0.245354
219,0.245354
220,0.245354
221,0.245354
222,0.245354
223,0.245354
224,0.245354
225,0.245355
226,0.245355
227,0.245355
228,0.245355
229,0.245355
230,0.245355
231,0.245355
232,0.245356
233,0.245356
234,0.245356
235,0.245356
236,0.245356
237,0.245356
238,0.245356
239,0.245357
240,0.245357
241,0.245357
242,0.245357
243,0.245357
244,0.245357
245,0.245357
246,0.245358
247,0.245358
248,0.245358
249,0.245358
250,0.245358
251,0.245358
252,0.245358
253,0.245358
254,0.245358
255,0.245358
256,0.245358
257,0.245358
258,0.245358
259,0.245358
260,0.245358
261,0.245358
262,0.245358
263,0.245358
264,0.245357
265,0.245357
266,0.245357
267,0.245357
268,0.245357
269,0.245357
270,0.245357
271,0.245357
272,0.245357
273,0.245357
274,0.245357
275,0.245357
276,0.245357
277,0.245357
278,0.245357
279,0.245357
280,0.245356
281,0.245356
282,0.245356
283,0.245356
284,0.245356
285,0.245356
286,0.245356
287,0.245356
288,0.245356
289,0.245356
290,0.245356
291,0.245356
292,0.245356
293,0.245356
294,0.245356
295,0.245356
296,0.245356
297,0.245356
298,0.245356
299,0.245357
300,0.245357
301,0.245357
302,0.245357
303,0.245357
304,0.245357
305,0.245357
306,0.245357
307,0.245357
308,0.245357
309,0.245357
310,0.245358
311,0.245358
312,0.245358
313,0.245358
314,0.245358
315,0.245358
316,0.245358
317,0.245358
318,0.245358
319,0.245358
320,0.245358
321,0.245358
322,0.245358
323,0.245358
324,0.245358
325,0.245358
326,0.245358
327,0.245358
328,0.245358
329,0.245358
330,0.245358
331,0.245358
332,0.245359
333,0.245359
334,0.245359
335,0.245359
336,0.245359
337,0.245359
338,0.245359
339,0.245359
340,0.245359
341,0.245359
342,0.245359
343,0.245359
344,0.245359
345,0.245359
346,0.245359
347,0.245359
348,0.245358
349,0.245358
350,0.245358
351,0.245358
352,0.245358
353,0.245358
354,0.245358
355,0.245358
356,0.245358
357,0.245358
358,0.245358
359,0.245358
360,0.245358
361,0.245358
362,0.245358
363,0.245358
364,0.245358
365,0.245358
366,0.245358
367,0.245358
368,0.245358
369,0.245358
370,0.245358
371,0.245358
372,0.245358
373,0.245358
374,0.245358
375,0.245358
376,0.245357
377,0.245357
378,0.245357
379,0.245357
380,0.245357
381,0.245357
382,0.245357
383,0.245357
384,0.245357
385,0.245357
386,0.245357
387,0.245357
388,0.245357
389,0.245357
390,0.245357
391,0.245357
392,0.245357
393,0.245357
394,0.245357
395,0.245357
396,0.245357
397,0.245357
398,0.245357
399,0.245357
400,0.245357
