Time,Z.ParticleNumber
200,53.9946
201,53.9873
202,53.9396
203,53.8216
204,53.6142
205,53.3083
206,52.9036
207,52.4063
208,51.8267
209,51.1781
210,50.4747
211,49.7305
212,48.9589
213,48.1716
214,47.3791
215,46.5902
216,45.8121
217,45.0507
218,44.3105
219,43.595
220,42.9066
221,42.247
222,41.6172
223,41.0177
224,40.4484
225,39.9092
226,39.3994
227,38.9182
228,38.4646
229,38.0378
230,37.6364
231,37.2593
232,36.9054
233,36.5735
234,36.2624
235,35.9711
236,35.6982
237,35.4429
238,35.204
239,34.9806
240,34.7717
241,34.5765
242,34.3941
243,34.2236
244,34.0644
245,33.9156
246,33.7767
247,33.647
248,33.5259
249,33.4128
250,33.3073
251,33.2087
252,33.1167
253,33.0309
254,32.9507
255,32.876
256,32.8062
257,32.741
258,32.6802
259,32.6235
260,32.5706
261,32.5212
262,32.4751
263,32.4321
264,32.3919
265,32.3545
266,32.3195
267,32.2869
268,32.2565
269,32.2281
270,32.2016
271,32.1769
272,32.1538
273,32.1323
274,32.1122
275,32.0935
276,32.076
277,32.0597
278,32.0445
279,32.0303
280,32.017
281,32.0047
282,31.9931
283,31.9824
284,31.9723
285,31.963
286,31.9542
287,31.9461
288,31.9385
289,31.9314
290,31.9248
291,31.9186
292,31.9128
293,31.9074
294,31.9024
295,31.8977
296,31.8933
297,31.8892
298,31.8854
299,31.8818
300,31.8785
301,31.8754
302,31.8725
303,31.8698
304,31.8673
305,31.865
306,31.8628
307,31.8607
308,31.8588
309,31.8571
310,31.8554
311,31.8539
312,31.8524
313,31.8511
314,31.8498
315,31.8486
316,31.8476
317,31.8465
318,31.8456
319,31.8447
320,31.8439
321,31.8431
322,31.8423
323,31.8417
324,31.841
325,31.8405
326,31.8399
327,31.8394
328,31.8389
329,31.8385
330,31.8381
331,31.8377
332,31.8373
333,31.837
334,31.8367
335,31.8364
336,31.8361
337,31.8358
338,31.8356
339,31.8354
340,31.8352
341,31.835
342,31.8348
343,31.8346
344,31.8345
345,31.8343
346,31.8342
347,31.834
348,31.8339
349,31.8338
350,31.8337
351,31.8336
352,31.8335
353,31.8334
354,31.8334
355,31.8333
356,31.8332
357,31.8331
358,31.8331
359,31.833
360,31.833
361,31.8329
362,31.8329
363,31.8328
364,31.8328
365,31.8328
366,31.8327
367,31.8327
368,31.8327
369,31.8326
370,31.8326
371,31.8326
372,31.8326
373,31.8326
374,31.8325
375,31.8325
376,31.8325
377,31.8325
378,31.8325
379,31.8325
380,31.8324
381,31.8324
382,31.8324
383,31.8324
384,31.8324
385,31.8324
386,31.8324
387,31.8324
388,31.8324
389,31.8324
390,31.8323
391,31.8323
392,31.8323
393,31.8323
394,31.8323
395,31.8323
396,31.8323
397,31.8323
398,31.8323
399,31.8323
400,31.8323
