Time,Z.ParticleNumber
200,59.9347
201,59.9268
202,59.8726
203,59.7275
204,59.4504
205,59.0051
206,58.3635
207,57.5079
208,56.4324
209,55.1433
210,53.6569
211,51.9976
212,50.195
213,48.2804
214,46.2854
215,44.2399
216,42.1707
217,40.1017
218,38.0528
219,36.0408
220,34.079
221,32.1778
222,30.345
223,28.5863
224,26.9053
225,25.3042
226,23.784
227,22.3445
228,20.9849
229,19.7035
230,18.4985
231,17.3676
232,16.3083
233,15.3179
234,14.3936
235,13.5329
236,12.733
237,11.9913
238,11.3052
239,10.6723
240,10.0902
241,9.5568
242,9.06992
243,8.6276
244,8.22799
245,7.86931
246,7.54991
247,7.26823
248,7.02275
249,6.81207
250,6.63482
251,6.48969
252,6.3754
253,6.29073
254,6.23444
255,6.20535
256,6.20224
257,6.22395
258,6.26926
259,6.33697
260,6.42589
261,6.53479
262,6.66248
263,6.80773
264,6.96931
265,7.14603
266,7.33666
267,7.53997
268,7.75482
269,7.97999
270,8.21432
271,8.45672
272,8.70605
273,8.96126
274,9.22132
275,9.48525
276,9.75211
277,10.021
278,10.2911
279,10.5615
280,10.8316
281,11.1006
282,11.368
283,11.633
284,11.8952
285,12.1541
286,12.4092
287,12.6601
288,12.9065
289,13.148
290,13.3843
291,13.6153
292,13.8407
293,14.0604
294,14.2742
295,14.4821
296,14.6839
297,14.8796
298,15.0693
299,15.2528
300,15.4303
301,15.6018
302,15.7673
303,15.9269
304,16.0807
305,16.2287
306,16.3712
307,16.5081
308,16.6396
309,16.7658
310,16.8869
311,17.0031
312,17.1143
313,17.2208
314,17.3228
315,17.4203
316,17.5135
317,17.6025
318,17.6876
319,17.7688
320,17.8462
321,17.9201
322,17.9905
323,18.0576
324,18.1215
325,18.1823
326,18.2403
327,18.2954
328,18.3478
329,18.3977
330,18.445
331,18.4901
332,18.5328
333,18.5734
334,18.612
335,18.6486
336,18.6833
337,18.7162
338,18.7475
339,18.7771
340,18.8051
341,18.8317
342,18.8569
343,18.8807
344,18.9033
345,18.9247
346,18.945
347,18.9642
348,18.9824
349,18.9996
350,19.0159
351,19.0314
352,19.046
353,19.0598
354,19.0728
355,19.0852
356,19.0969
357,19.108
358,19.1184
359,19.1283
360,19.1376
361,19.1464
362,19.1547
363,19.1626
364,19.17
365,19.177
366,19.1836
367,19.1898
368,19.1956
369,19.2011
370,19.2063
371,19.2112
372,19.2159
373,19.2202
374,19.2243
375,19.2281
376,19.2317
377,19.2352
378,19.2384
379,19.2414
380,19.2442
381,19.2469
382,19.2494
383,19.2518
384,19.254
385,19.2561
386,19.2581
387,19.26
388,19.2617
389,19.2634
390,19.2649
391,19.2664
392,19.2677
393,19.269
394,19.2702
395,19.2714
396,19.2725
397,19.2735
398,19.2744
399,19.2753
400,19.2762
